,logFC,AveExpr,t,P.Value,adj.P.Val,B,adj p val log,,GranPos,LFC,adjPV,,mtorcPos,LFC,adjPV,,riboPos,LFC,adjPV
RUNDC3A,1.787754568,24.46773647,9.186529438,3.89E-05,0.003121565,2.824841041,2.50562766,,,,,,,,,,,,
CHRD,1.779676625,19.78667188,3.582690466,0.00904237,0.053560595,-3.006824585,1.271154609,,,,,,,,,,,,
NEFM,1.77549515,31.46784207,2.563379009,0.03757354,0.116394761,-4.497837454,0.934066568,,,,,,,,,,,,
ENDOD1,1.775195747,22.12762005,6.764188584,0.000269261,0.009609668,0.771623273,2.017291598,,,,,,,,,,,,
GSG2,1.7569743,15.26346392,3.580323287,0.009070877,0.053654616,-3.010172233,1.270392906,,,,,,,,,,,,
PEG10,1.752698704,23.36252698,8.122141479,8.57E-05,0.005201036,1.992202615,2.283910154,,,,,,,,,,,,
TMEM87A,1.752466196,18.63370951,2.463717643,0.043447854,0.127521104,-4.646132249,0.894417935,,,,,,,,,,,,
SEZ6L2,1.752456534,19.73493676,2.995324531,0.020229496,0.081283401,-3.856655922,1.089998135,,,,,,,,,,,,
BMP2K,1.746118842,21.04377586,6.329874782,0.00040331,0.012729425,0.337620026,1.895191213,,,,,,,,,,,,
HP1BP3,1.743954609,23.55558322,3.153167697,0.016218748,0.072203944,-3.624926009,1.141439081,,,,,,,,,,,,
DDX18,1.735861428,20.84870555,2.769246191,0.027905604,0.097731216,-4.191452925,1.009966699,,,,,,,,,,,,
DOLK,1.734048159,19.66185898,5.726625744,0.000732283,0.017152862,-0.304864019,1.765663413,,,,,,,,,,,,
NAT14,1.731383808,21.57616284,3.78865652,0.006897977,0.046387885,-2.718342112,1.333595432,,,,,,,,,,,,
GNL2,1.730196834,22.05501121,4.272729545,0.003743801,0.034341089,-2.063609875,1.464185934,,,,,,,,,,,,
LOXL1,1.729798747,19.38978078,3.233542067,0.01451076,0.068850446,-3.50776309,1.162093245,,,,,,,,,,,,
VPS37A,1.709259901,20.31601154,3.768965469,0.007076886,0.046961773,-2.745677505,1.328255517,,,,,,,,,,,,
RAB2B,1.707446875,20.70752069,2.275387063,0.057263435,0.15190369,-4.925209112,0.818431676,,,,,,,,,,,,
EIF2AK2,1.696348153,21.67627272,8.220928051,7.94E-05,0.005031131,2.07371337,2.298334368,,,,,,,,,,,,
LRRC8A,1.68798595,24.01404965,7.053871118,0.00020791,0.008490305,1.048675084,2.071076711,,,,,,,,,,,,
SYNM,1.68607067,21.24606124,2.04765863,0.080068852,0.188918008,-5.258207657,0.723726642,,,,,,,,,,,,
VMA21,1.677506191,20.93854406,5.962256422,0.000577129,0.015319178,-0.048202368,1.81476454,,,,,,,,,,,,
TENM1,1.673528136,17.52332605,3.443428071,0.010897002,0.058954861,-3.204946503,1.229480383,,,,,,,,,,,,
AP5Z1,1.668352191,20.05398034,7.737179349,0.000116614,0.006300284,1.665634376,2.200639876,,,,,,,,,,,,
DOLPP1,1.664941016,16.76582714,4.527528207,0.002752573,0.029830737,-1.732806858,1.525336019,,,,,,,,,,,,
VPS37C,1.653160868,21.11778156,4.813990373,0.001970165,0.026225428,-1.372500917,1.581277423,,,,,,,,,,,,
