nes n40n2,nes n40n3,nes n40n4,nes n40n5,nes n41n1,nes n41n2,nes n41n3,nes n41n4,nes n41n5,lamp n40n2,lamp n40n3,lamp n40n4,lamp n40n5,lamp n41n1,lamp n41n2,lamp n41n3,lamp n41n4,lamp n41n5
-2.64265561,-2.773351331,-2.617972063,-2.506264435,-1.995828137,-1.898653075,-1.918375527,-2.018338873,-1.838058209,-3.702538431,-3.450398799,-3.315096328,-3.459808205,-2.372688828,-2.418675728,-2.481873123,-2.454957023,-2.414661086
-4.058030687,-3.721414017,-4.16499908,-4.204514704,-2.905820271,-2.68592411,-2.71522863,-2.816596724,-2.901178419,-1.039539374,-1.010378746,-0.951185945,-0.90740181,-0.42064408,-0.332522581,-0.338805905,-0.308171298,-0.36424185
-2.036192932,-2.061471412,-2.033809675,-2.061989039,-1.50517243,-1.628299318,-1.644738424,-1.613011598,-1.555601039,-1.424660384,-1.33370725,-1.451420579,-1.324411132,-0.842046887,-0.885579706,-0.805414109,-0.850841406,-0.84696493
-4.323940817,-4.432255042,-4.447303216,-4.128483614,-3.59365722,-3.514434302,-3.601338286,-3.556032686,-3.71375851,-3.646482047,-3.681113735,-3.69275811,-3.717348766,-3.313016492,-3.356510247,-3.362571225,-3.329629755,-3.445506376
-1.11152187,-1.298251157,-1.194022578,-1.194240281,-0.595197035,-0.685428799,-0.544376355,-0.660074553,-0.495875602,-3.715329335,-3.759770091,-3.868823058,-3.682688929,-3.124432405,-3.032736418,-3.072417123,-3.024409982,-3.050423724
-1.090622767,-1.537899392,-1.446890881,-1.240951669,-0.441681841,-0.400273445,-0.419525387,-0.476780813,-0.602984604,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-2.083780344,-1.945104663,-2.083616773,-2.391696525,-2.768137246
-2.643304636,-2.607027798,-2.640717408,-2.653118249,-2.077925435,-2.217817956,-2.219283245,-2.168694153,-2.1914917,-3.206980763,-3.436760382,-3.21610672,-3.281945771,-2.435757207,-2.458683811,-2.325252147,-2.372588388,-2.448509088
-3.533362031,-3.517016677,-4.092504963,-3.557930213,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-1.570441724,-1.580642808,-1.527108759,-1.68709429,-1.039648635,-0.951612738,-1.001922919,-1.034304189,-0.983505004
-5.222903988,-4.297747358,-3.796042156,-5.350838564,-2.208355811,-2.212029549,-2.067432994,-2.400907021,-2.119089729,-2.500966014,-2.559109095,-2.660160594,-2.417993565,-1.865808764,-1.891909796,-1.852565839,-1.887546261,-1.890164472
-1.412219262,-1.428814535,-1.498883092,-1.160537888,-0.596447216,-0.425834859,-0.558948716,-0.52607133,-0.543637796,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-0.411589197,-0.038215843,-0.000843285,-0.014984653,-1.181201462
-0.494243568,-0.50417862,-0.753496813,-0.558472936,0.264059479,0.256552161,0.458913326,0.264856068,0.20128384,-23.25349666,-7.570075982,-4.797764096,-23.25349666,-2.673021747,-2.605024322,-2.753353366,-2.601725055,-2.704040391
-3.507538508,-3.573134376,-3.322619701,-3.514016565,-2.497095294,-2.612255103,-2.355297938,-2.354269534,-2.466570795,-3.678333765,-3.500866867,-3.490706781,-3.817654337,-2.684162473,-2.709066612,-2.62754546,-2.691533425,-3.268311493
-1.964235189,-1.968318157,-1.983667656,-2.499405898,-0.424722149,-0.471316398,-0.530959174,-0.786237974,-1.1653268,-3.020128514,-3.39993038,-3.290666403,-3.078565839,-1.976331068,-2.100903585,-1.936826996,-1.994838027,-2.052268093
-1.949793708,-1.735266595,-1.760177564,-1.665837654,-0.899993776,-0.970363428,-1.109614094,-1.011781471,-1.107057889,-1.424919383,-2.074062992,-2.365563058,-3.702178493,1.495735983,1.690092874,1.545282549,1.857698958,1.668609321
-1.851046497,-1.863930598,-1.877627568,-2.063529716,-3.349811899,-4.666959387,-4.075983155,-6.538500207,-23.25349666,-2.426883374,-2.9042406,-2.536546082,-2.617627347,-1.535698237,-1.53878655,-1.593180217,-1.554807943,-1.592785802
-6.274764423,-5.459170284,-5.63986401,-7.730750252,-3.876095513,-3.920558451,-3.868400739,-4.112298036,-3.81384427,-0.042908286,-0.159241408,-0.154508037,-0.034214724,0.567242683,0.587334892,0.47260221,0.517238125,0.325032501
-2.58806461,-2.636623231,-2.540894688,-2.539479856,-2.012607127,-2.14216947,-1.953958413,-1.97227266,-1.957332591,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
-4.56819877,-4.326668317,-3.974624422,-4.23291699,-2.985511277,-3.166069965,-2.866654434,-3.040664466,-2.922136122,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-3.713901128,-4.048051848,-3.934557149,-4.145479239,-5.028781726
-0.768557291,-0.595679155,-0.674331473,-0.538744294,0.27861177,0.227539412,0.490291927,0.238026133,0.430389076,-1.397171984,-1.193727122,-1.249386745,-1.174464532,-0.596897072,-0.509035578,-0.572584973,-0.58535197,-0.583412963
-2.77943317,-2.718805465,-2.964618022,-2.762751364,-2.305266249,-2.167303709,-2.266835141,-2.217408627,-2.307630568,0.252986974,0.372972156,0.451513312,0.342381905,1.187020943,1.107780549,1.249507004,1.111166021,1.243300761
-0.70494506,-0.737972952,-0.597873926,-0.711007835,-0.300158413,-0.306927803,-0.365929774,-0.250361431,-0.376042293,-3.553885156,-3.382090982,-3.267963992,-3.499896417,-2.210134226,-2.074150648,-2.064121902,-1.947094285,-2.163177981
-2.430339162,-2.697731127,-2.577253887,-2.624171958,-4.270978345,-4.804412438,-23.25349666,-23.25349666,-23.25349666,-2.924880405,-3.162146808,-3.165417841,-2.900925376,-2.149717457,-2.135075438,-2.218995767,-2.173311073,-2.215431359
-2.546314639,-2.864312666,-2.791817559,-2.50497383,-1.509780287,-1.277112823,-1.540101653,-1.59136182,-1.613330887,-4.981366418,-5.02541886,-5.376075978,-3.985335586,-2.539411156,-2.571324788,-2.567924417,-2.607362606,-1.820069031
-5.9963781,-23.25349666,-23.25349666,-23.25349666,-3.977204953,-3.413551742,-3.578413489,-3.745945715,-23.25349666,-0.761097526,-0.734809862,-0.671936324,-0.72386325,-0.095570919,0.076870805,-0.028604108,-0.034600193,0.113758122
0.091738768,-0.039265678,0.115137525,0.081952656,0.560526915,0.462049974,0.577725502,0.461119349,0.561672421,-1.839107376,-1.81391298,-1.869051618,-1.843591671,-1.114297076,-1.120649162,-1.243641407,-1.23808461,-1.125251517
-2.163405184,-2.206141883,-2.21404598,-2.1897555,-1.678921425,-1.729729789,-1.821052109,-1.626363712,-1.499117811,-2.557206044,-2.504744417,-2.567104492,-2.592005163,-1.968957079,-2.082961827,-1.966070914,-1.95600863,-2.047949775
-1.999397166,-2.026099878,-2.255911518,-2.038990825,-1.562356096,-1.453420022,-1.448015273,-1.547604273,-1.660072891,0.16511815,0.240021328,0.216554516,0.193928064,0.645936663,0.718756432,0.781551619,0.720375708,0.793723895
-3.15652491,-5.741098308,-3.089115783,-3.790102249,-1.676348884,-1.625882421,-1.762104576,-1.716345358,-2.169743306,0.363688199,0.427422389,0.411490603,0.447853714,1.299170996,1.293690106,1.113996137,1.271117689,1.107056018
-2.762858408,-2.756615129,-2.631594984,-2.527622424,-1.869223685,-1.744932864,-1.832777679,-2.012441464,-1.711348036,-1.538458407,-1.685769573,-1.766578496,-1.710236735,-1.056716436,-1.018117944,-1.083496173,-1.045081533,-1.053847477
-4.346859484,-3.550552733,-3.94349156,-3.772410835,-2.823948582,-2.765156181,-2.721021774,-2.649083199,-3.292232086,-23.25349666,-8.797977431,-23.25349666,-9.789663248,-4.72687639,-4.727844072,-4.922135969,-4.47587674,-4.943463083
-3.143478507,-2.923723019,-2.854523551,-2.945737714,-2.158498085,-2.303447185,-2.361557688,-2.217297108,-2.386947454,-23.25349666,-23.25349666,-4.708110534,-23.25349666,-2.524135583,-2.646293056,-2.465428491,-2.391383791,-2.996808402
-1.131264453,-1.167510664,-1.17499436,-1.12577911,-0.857001692,-0.790725943,-0.855834757,-0.731531531,-0.81306697,-3.132861924,-2.854513013,-3.133789589,-3.168741688,-1.901171538,-2.008670231,-1.912575135,-1.793340599,-1.997812364
0.17638582,0.187281331,0.110652168,-0.023738035,-1.204421163,-1.43584484,-2.230923718,-0.946150018,-1.595432337,-8.385713108,-23.25349666,-6.372397285,-9.466143992,-2.736104283,-3.180261209,-2.794675016,-2.823163433,-2.419314418
-4.378379146,-3.913798776,-3.590368098,-4.791945076,-2.247011487,-2.029860203,-2.375315215,-1.979801158,-2.214698875,-4.589159386,-4.895124348,-4.559480656,-4.621600423,-3.702356535,-3.629830237,-3.776010102,-3.694253017,-3.845258384
-2.157219867,-2.057449745,-2.309210054,-2.047010622,-1.565309141,-1.38850203,-1.490043101,-1.540514544,-1.347142512,0.741353032,0.770225007,0.749484087,0.830474983,1.272473255,1.25585575,1.169315738,1.209536918,1.31236634
-1.985458854,-2.137996965,-1.966325966,-1.915347366,-1.405267325,-1.39154211,-1.473866341,-1.551631911,-1.531731886,-2.821666833,-4.000964112,-3.402820052,-3.132293893,-0.87762848,-0.959966062,-0.651453783,-0.693730209,-0.889665084
-1.454948508,-1.449176504,-1.305953668,-1.344947964,-0.943026744,-0.848862994,-0.917376114,-1.004753513,-1.024901038,-1.981751751,-1.960995573,-2.128539992,-1.963447277,-1.370926061,-1.457474445,-1.340737162,-1.401843892,-1.159222312
-1.658636516,-1.676866851,-1.792248927,-1.740449679,-1.194289536,-1.291437941,-1.329328788,-1.334835957,-1.174319937,-2.817991115,-2.7351763,-2.761741371,-2.760166378,-2.489981322,-2.484359575,-2.450706074,-2.438787076,-2.629539955
-0.17983769,0.263363945,-0.236550147,-0.386331535,-23.25349666,-3.586873357,-23.25349666,-23.25349666,-1.82648058,-2.646476383,-2.634942868,-2.704183762,-2.684684664,-2.394543936,-2.360153682,-2.409235421,-2.361757282,-2.359208483
-2.603227413,-2.415188171,-2.548129568,-2.439869135,-1.831074972,-1.934417277,-1.763591997,-1.965628369,-1.919412657,-0.318290673,-0.406061905,-0.351268676,-0.276484941,0.210187574,0.190772103,0.170425281,0.099137449,0.219234477
-1.355638415,-1.561874289,-1.334055519,-1.283727564,-0.605641157,-0.586247412,-0.468046297,-0.740342528,-0.574558775,-23.25349666,-23.25349666,-23.25349666,-5.858347654,-2.216026396,-2.249180556,-2.240916582,-2.655153028,-2.348442085
-1.735446212,-1.603353865,-2.030976549,-1.797240157,-1.112480494,-1.036455391,-1.046048776,-1.169398535,-0.900295676,-3.400365142,-2.648728943,-3.524612594,-2.987772436,-1.302797384,-1.278363626,-1.340683536,-1.469791657,-1.49617452
-23.25349666,-5.628543751,-4.801334146,-5.109834491,-3.441405289,-3.306720293,-3.194789563,-3.097904434,-3.388680983,-4.185942009,-3.944681626,-4.094889219,-4.066048123,-3.041391399,-3.103443567,-3.180236061,-2.958581135,-3.135958136
-2.678436397,-2.77472972,-2.814156538,-2.810157592,-2.148796791,-1.932360931,-1.929246708,-1.814163397,-1.900785306,-2.886595825,-2.156293598,-2.348696962,-1.752179475,-0.462583238,-0.378452552,-0.420348369,-0.556976633,-0.467895062
-2.404088906,-2.427358231,-2.659210245,-2.392591387,-1.211937545,-1.426414169,-1.589455595,-1.271411008,-1.336166316,-4.224896056,-4.496041934,-4.41676549,-4.227750896,-3.435209025,-3.451629935,-3.549206612,-3.405010615,-3.409176398
-0.551399097,-0.560270218,-0.796848184,-0.650402839,-0.151562645,-0.221037995,-0.21073751,-0.169810475,-0.234550642,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-2.41989761,-2.435772272,-2.040202205,-2.063912425,-2.059650665
