,baseMean,log2FoldChange,pvalue,padj,gene_name,present in APEX-RNCseq lyso?,present in APEX-RNCseq cyto?,present in FULL APEX-RNCseq lyso,present in FULL APEX-RNC cyto list,present in p300,present in Psig,present in Fsig
ENSG00000083720.13,1413.298179,1.413805936,3.43E-35,7.66E-34,OXCT1,yes,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000239556.4,10.63165872,1.413097227,0.001721881,0.008374867,AC004951.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000174871.11,269.3931386,1.413034737,9.92E-16,1.30E-14,CNIH2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000225539.7,54.48604752,1.41299658,1.44E-08,1.33E-07,LINC01821,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000090266.13,370.8491484,1.412830374,3.52E-24,6.06E-23,NDUFB2,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000100075.10,210.1438026,1.412753331,3.25E-13,3.86E-12,SLC25A1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000288035.1,26.76912947,1.411588187,9.36E-06,6.80E-05,AC022433.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000188026.13,217.6339731,1.411308703,5.70E-20,8.62E-19,RILPL1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000210176.1,1089.426081,1.410957463,1.15E-16,1.56E-15,MT-TH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000100413.17,439.4790475,1.410004043,1.32E-23,2.23E-22,POLR3H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000224870.7,58.19196394,1.40964999,9.16E-12,1.01E-10,MRPL20-AS1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000167965.18,171.7145665,1.408749656,2.88E-13,3.44E-12,MLST8,yes,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000173320.12,1825.5765,1.408471295,3.35E-34,7.36E-33,STOX2,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000126778.12,114.7285892,1.408338935,2.12E-18,3.06E-17,SIX1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000141425.18,1572.269074,1.407444442,6.62E-37,1.54E-35,RPRD1A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000162437.14,123.7091004,1.407036061,2.36E-18,3.39E-17,RAVER2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000119013.9,241.0398688,1.406703923,4.45E-23,7.42E-22,NDUFB3,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000271810.5,34.73459978,1.406666697,1.13E-07,9.87E-07,AL603832.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000156170.13,171.9066154,1.406353871,1.55E-24,2.70E-23,NDUFAF6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000081923.14,58.10652853,1.406044474,5.84E-09,5.53E-08,ATP8B1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000132676.16,422.5526174,1.405619862,6.48E-40,1.62E-38,DAP3,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
