UCSC_Gene_Symbol
DUSP26
ZNF737
CLMP
RTTN
TSPAN2
SEPT5-GP1BB
WASH3P
SPINT2
MTUS2
SLITRK3
ZNF471
ZNF71
SAMD5
ONECUT2
LOC283683
LOC101927359
IGSF9
BACH2
PLXNB1
ZNF236
HYDIN
WNT5B
PCDHB3
ANK1
PSMG3
RPS6KA2
MEX3C
SLC30A10
PRKCZ
HS3ST2
LINC00909
GRIA2
PCDHA4
CEP170B
ZNF124
VAV3
TXNDC16
ELAVL4
ZMIZ2
NARS
RN7SL2
AMER3
MTRNR2L2
ZNF232
FZD8
MAFF
SMAD4
MDGA1
PLEKHG3
SPRED3
CYGB
C17orf102
KIAA1644
SYT4
CACNA1I
SOCS2
MBD2
ZNF540
RUNDC3B
PRKXP1
DOC2B
CNGB1
WDR7
ZNF439
RCAN2
MIR100HG
SORBS2
TMEM151B
ZBTB8B
MALAT1
KIAA1522
MAGI2
CHST2
GAL3ST4
PRKX
MTSS1L
PSD2
ZNF516
SHROOM2
45172
RNU4-2
PTGER3
RBFA
SNCAIP
ARNT2
PLXNA4
CSDC2
SOCS6
THEM6
KCNN1
VPS4B
ZCCHC12
FAM227A
NAALAD2
ZNF880
GPM6A
PCDH10
DLG3
TRIM67
POU3F1
TXNL1
RIMS3
THTPA
HECW1
GRID1
DUSP4
FAM43A
GRIN2D
FECH
FAT4
CYP27C1
TRIM58
ZFP30
DSEL
SH3GL2
ZNF781
CNTNAP4
ATP9B
ZNF407
PHACTR3
GPR83
CHD3
POU6F1
BTNL9
MTRNR2L8
KIAA1468
CHN2
ACOT2
SLC1A1
KCTD12
NCR3LG1
ADRA2A
PHLPP1
C1orf216
HOXB2
SYT5
ADNP2
GPC2
PQLC1
MIR600HG
TMEM35
UBE2QL1
ADGRB1
RNF122
ATP2B2
TIMM21
PCDHB2
KIF21B
ISLR2
LY6H
LHX9
TMEM196
PLCE1
AP1G2
GPR161
SLC12A7
LGALS8
RPPH1
EBF3
DTX1
CNDP2
CDH4
CALY
NEURL1B
ADCYAP1
SAMD10
KIAA1549L
KCNH1
RAP1GAP2
RBFOX3
ZNF532
NPTX1
PRKAR1B
ST6GAL2
CTDP1
GUCY1A3
UNCX
CTNND2
C2orf80
FAM221A
SYT16
TMEM179
CDHR1
CLVS1
MAB21L1
EPHB1
NPY1R
SEMA3F
RASSF2
PCDHA9
KLHL14
RNF152
GRM8
RAB33A
DCHS2
SH3GL3
CUX2
ERV3-1
LOC728613
TMSB15A
TBC1D30
DPF1
IGLON5
ZNF117
ECEL1
COCH
RELN
CCDC177
CACNG2
ZFHX2
JPH4
ZNF138
NEDD4L
MYD88
GRIK3
LBH
GRM7
SCUBE1
SLC6A17
CACNA1E
SLC16A9
SLCO5A1
PARD6G
PTPRT
PTPN5
VSTM2B
HUNK
HIP1R
LHX4
SHANK2
SCRT2
MBP
NHLH2
SLC1A6
TAC1
SALL3
EPHA6
DNAJC22
DOK6
SLC16A14
MYT1
CDH8
PAX2
TNC
ZNF536
FAM19A2
GRIN3A
NGFR
C1QL4
BNC2
GUCY1B3
LOC102723828
GREM2
KCNK10
ADGRG1
CDH20
PCDHGB6
LMO3
CNTN4
SOX11
