PG.ProteinGroups,300_24
Q14249,-5.63275382324483
Q15910,-4.8590999718146
Q13164,-15.2892682854578
Q9UFN0,-6.4373124151568
Q9Y3C6,-7.61650735993921
O15041,-12.455499721287
Q9Y3T9,-12.9824405753057
Q96N21,-16.2946132960674
Q96HY6,-6.02041739492102
Q8TF44,-5.50958090022947
Q8WX77,-6.10937883227587
Q9P2B2,-8.24521737225918
Q9Y277,-8.72786755180894
Q9Y219,-4.12067210165242
Q96FC7,-4.10014456422813
P23443,-6.15669581431702
Q86YD1,-6.00794903841129
Q9NUQ8,-11.081842189353
O00222,-2.35632726811366
Q96ME1,-8.8983745475681
Q9BSA9,-12.644953652879
Q8TBZ3,-3.64176180484113
Q6ZSY5,-5.9900624142518
O43173,-7.27434603711077
Q12797,-3.10403249347293
Q96MP8,-6.76320483953568
O96005,-7.32170547780287
Q9HB21,-5.48851066949551
Q9BSV6,-11.7975013176085
Q16539,-0.211428891804913
P18669,-7.62746713039907
Q86YH6,-3.16617977330461
Q7Z6J6,-10.6681515416404
Q16512,-0.824485153900033
Q9H4K7,0.410312203862142
Q96QE2,-5.84684197025223
P07205,1.8167620268439
A6NNY8,-4.88699270944177
Q6P1X6,-14.847504522282
O15394,-7.52788030581815
O75147,-2.22510279206018
P56937,-3.17433035259865
Q96L34,-5.92015574799431
Q9UKD2,-3.34567353880685
Q96FK6,-15.1576985138916
O14653,-2.94919718627514
Q9BT22,-3.40132519721253
P35052,-6.37849446283084
Q9BYJ9,-6.54398316000287
Q69YN2,-3.4230976593984
Q7L3B6,-2.57792069954274
Q8NCW6,-3.09286307551384
Q9P2F5,-5.60088956971701
O14730,-6.17796514537308
Q8N8A2,-11.9315956088291
Q8N2G8,-13.6162162737678
P50336,-7.22063060815196
O75044,-6.07027019782251
Q5TEC3,-2.47962156280879
P82921,-14.4130091556922
Q96GZ6,-4.32276626602283
Q9H1U9,-0.390492953863288
Q8N474,-3.19456021575893
Q16281,-23.2534966642115
Q08380,-16.3133381135054
Q16585,-14.9140168603817
O00213,-4.60086665432495
Q9UBC3,2.55015575113152
Q96RY7,-23.2534966642115
O43741,-2.63637094887496
P28370,-5.78839285350821
Q92953,-10.8264978143943
P19388,-5.84847168431576
P31930,-8.33561879128088
Q86WN1,-11.0682726748786
P49842,-16.9482598228547
Q6P3S6,-8.98869759583898
Q9BZV1,-16.1312348097328
Q9UQB8,-23.2534966642115
Q8N8U2,-4.42087122196314
Q76N89,-7.13321152449842
Q99816,-11.7919638325321
Q14457,-5.62840893746838
Q96T21,-2.94086573344058
O95801,-0.736000709753303
P51826,-23.2534966642115
Q9NWT1,-2.06495582501003
Q12974,-8.52197113757095
Q15269,-12.5293857676677
Q9Y3Q0,-11.5496458986435
Q6NWY9,-6.13768248836045
P48067,-14.6401626462252
O76024,-14.6192456063534
Q8TEV9,-14.2958646915033
O95983,-7.59535759065042
P45954,-6.57994293279936
P07355,-13.5434771097984
Q9UHN1,-23.2534966642115
Q9Y6G5,-5.6458247732818
Q9Y4C2,-7.16784874565119
Q5T7P8,-4.75538357100875
Q9BTY7,-2.83286802952702
Q6NTE8,-3.68485568009685
Q96EC8,-10.0048562987603
Q5RKV6,-2.44838567184489
Q8WW12,-6.81773444555724
Q9Y508,-7.40645054401584
Q13009,-8.02836057999115
Q13838,-8.93899038975672
Q9UHQ1,-1.43247522901647
Q96EQ0,-4.3070180856516
Q86YP4,-11.7984585722474
P67809,-8.95216873977652
P61088,-7.47439682953679
Q96FV2,-2.92371818881254
P49441,-6.5113872724448
Q6UXN9,-5.08088157209403
Q13564,-6.5762534257394
Q68CP9,-5.58663965975025
O95180,-2.84211789202676
Q99523,-1.92501522511733
O14818,-8.72974597265788
Q96E11,-6.30198329231309
Q16773,-23.2534966642115
Q9P2D1,-7.28639145749584
O95470,-6.65761400319343
Q9P1Y6,-12.5389421155939
Q86WB0,-5.31030516843465
P55036,-9.11097175921251
P54756,-2.40780398408514
Q8N4V2,-11.8591836495913
Q15363,-4.78095251428645
Q8WZA9,-15.6554322453258
Q14686,-1.67301508444563
Q9BZR6,-1.56936969303922
Q9NRN9,-7.04546088514085
P17252,-5.4329842459125
Q9BQ16,-3.09343805949419
O14490,-12.1849884925256
Q02790,-6.59720567845731
Q9UHD1,-8.50565342119497
P31629,-3.80136122628802
Q9H089,-12.6000672159068
O95948,-3.76505397003903
O14562,-7.10171487852406
Q5VST9,-10.9200947984918
Q9NW75,-0.241040293789808
Q969P0,-15.7334996244944
Q16875,-4.22380063848398
Q15417,-8.80127495396002
Q12899,-4.10060097957136
Q9NVF7,-3.19320592598018
Q16740,-7.04328911400929
Q15048,-7.15178879384904
Q6XQN6,-1.18076160376775
Q15800,-7.13570909551196
P52747,-1.81639715452832
Q96IV0,-5.81306733172443
Q96IG2,-14.0432325424857
Q9H2F5,-4.78514034595253
Q9H936,-13.8393249711245
O43402,-4.94468695244514
P62910,-5.45042106857697
Q9H0K6,-4.18315651904859
Q9H6J7,-0.845808213817985
Q96GA7,-4.76661991783517
P0DPB6,-6.1224932661197
Q6UW02,-3.27981006843525
Q9UQ90,-13.4419121333726
P50749,-6.37401097897446
Q9Y3F4,-8.83284004424663
Q9NX05,-1.15656196432562
Q9GZY8,-15.3069220551295
P49748,-14.0936810640861
Q8NFG4,-6.73417822089005
Q9UPN7,-8.83567136846222
Q92562,-6.78292170285524
Q9BY67,-7.52250790062134
Q8TCD5,-14.2636719204605
Q6PI48,-7.60225490482936
Q9ULP9,-16.1206599936305
Q02750,-4.2219882203952
Q9UGI6,4.72231451579252
Q9UEE9,-6.86427629882142
P54803,-23.2534966642115
Q14232,-13.8454869938113
P10515,-6.68768771736035
Q08999,-4.64364035792624
Q8IXQ4,-2.47499884974356
Q96PU8,-13.1016008704936
Q8IU81,-4.62528340238086
Q92506,-5.54860568183792
O00750,-8.25335089288755
Q92925,-10.1777775188629
Q9NX74,-3.42958527645378
O14828,-4.48933375084635
O15484,-4.74189894736544
Q7Z7K6,-14.8753604100958
