PG.Genes,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
HSDL1,-6.965594723,-6.151163582,-6.052461135
PPP4R3B,-1.900515335,-2.79041689,-2.343240991
ADARB2,-0.544674385,-0.654814474,-1.442133294
LPCAT1,-4.631831559,-5.132097514,-5.512962647
LYSMD1,-3.23122069,-4.020191588,-3.892217685
MAP1A,-4.866550106,-5.245514481,-5.791101212
DDX24,-5.438159771,-5.441191191,-5.268348733
ACLY,-9.139718832,-9.775257232,-9.916741315
NAV3,-4.482421598,-4.439623506,-5.339261007
RTN4R,-0.461554158,-0.586141615,-0.665387411
MGRN1,-3.723232802,-3.081599378,-3.891944169
PITPNM2,-3.7912548,-3.614411752,-4.494545028
MSL3,-5.665145747,-5.076787001,-5.709891797
GBA,-5.625063362,-6.532179663,-6.072205597
TSC2,-4.007598841,-4.338730999,-4.953794124
TUBGCP6,-2.675636989,-2.181453994,-3.084848381
MED16,-6.12570756,-5.193893511,-5.56599785
EFR3B,-4.654320935,-4.053538042,-3.832278185
PSMD14,-5.87786406,-6.729401264,-6.349481267
GHITM,-5.846451466,-5.806778582,-6.715865603
CCDC71,-2.113580073,-2.024050135,-2.938259155
MAN2B2,-5.696778988,-6.242785598,-6.582017146
ZNF516,-2.458418695,-1.77267536,-2.565541703
SCAI,-4.828185409,-4.438866691,-5.389746906
TOR2A,-3.150994177,-3.165680713,-4.060182366
VAC14,-4.687981609,-5.648005383,-5.017496842
MCMBP,-5.298765651,-5.544155672,-6.26643622
PIP4K2B,-4.252974681,-4.125574108,-5.05549305
ATXN10,-2.554461309,-2.651705436,-3.497235234
LPCAT4,-2.740352056,-2.681760807,-3.611931331
TANC2,-3.680584,-2.840442086,-3.387574318
RPS6KB1,-3.219060821,-3.271894924,-3.961157317
RPS24,-5.320801832,-5.148989786,-5.506182116
AGRN,-4.131693483,-4.115557692,-5.031757492
PTPRO,-2.673566129,-3.597087585,-3.0155258
PPIA,-5.662680643,-6.624951046,-5.881477576
ATP6V0A1,-4.349951543,-4.639512944,-5.326824924
TSEN34,-1.746974863,-1.659110447,-2.586131125
FRRS1L,3.187433618,3.589993265,3.442157934
RAB5C,-4.251537668,-3.795437589,-4.7361481
HSPA4L,-3.47267035,-3.345456195,-4.066469429
SNRPB2,-4.728729789,-4.608522295,-5.565252955
DPYSL4,-9.479723212,-9.674155334,-10.39213528
TBPL1,-3.619376709,-3.409263038,-4.393389168
MAP4K4,-5.756391544,-4.812684362,-4.896195188
HECA,-3.087493409,-3.452983848,-4.067428905
XKR7,-5.832772358,-6.815920682,-6.018343578
RPS14,-4.484501497,-5.252865685,-5.095908894
IGBP1,-3.163837487,-3.184166022,-3.960711919
SPTBN2,-4.948917012,-4.58904775,-5.573596223
SUMF2,-3.522253523,-3.412926329,-4.310817144
OVCA2,-4.68833159,-5.631895083,-4.966221245
PAPSS2,-3.651828779,-3.233731117,-3.178629655
ACBD5,-3.447834164,-4.165721572,-4.245102961
ATRN,-3.300228147,-2.967888721,-3.94612686
PTPN13,-5.360435397,-6.351307349,-5.687898279
NXN,-3.961479952,-3.432131887,-4.141189085
NAA30,-4.707224982,-4.478973974,-3.849798209
DUS1L,-3.41808778,-4.414468872,-3.694673804
QRICH1,-1.596022057,-1.58379087,-2.478198156
NDUFB10,-5.252543821,-6.247133035,-5.447074558
POLG,-5.89121597,-4.890780594,-5.135731026
SUPT16H,-6.369532237,-7.155937811,-7.102150473
PRDX3,-6.835193303,-5.869455962,-5.929448142
DIEXF,-3.492455779,-4.091671339,-4.394262002
PCDHB14,-5.403775755,-4.401596825,-4.647390858
SPPL2B,-5.186817071,-6.187798732,-5.448343923
PCDH7,-3.732240872,-2.822969345,-3.411931991
SLC1A2,-4.487131323,-5.479242439,-4.867068439
SLC35E1,-4.320534934,-4.13298037,-3.479943841
ZSCAN18,-4.988176618,-3.985563827,-4.334764069
PCOLCE2,-4.49789237,-5.501108889,-4.859215433
DHX30,-6.704072722,-7.666890145,-6.739147974
ATM,-5.142637596,-6.095413455,-5.651902313
MEX3A,-4.197403776,-3.769350317,-3.245999388
KDSR,-6.500257412,-6.192734362,-5.623025077
PI4K2A,-4.902073258,-3.902896563,-4.276987649
STMN1,-5.204031202,-5.17004592,-6.076740791
USP5,-5.016978065,-5.75264589,-5.828280866
TRIP12,-3.949913857,-3.290865381,-4.164324929
PTPRU,-2.781990598,-3.771653004,-3.212866596
LRFN5,-4.14927224,-4.018368581,-3.311593677
ACTR10,-5.824225911,-4.817211863,-5.179959438
RHOG,-2.880436424,-3.881919561,-3.286215604
FBXO30,-3.176215642,-2.924223389,-2.996377349
NDUFV2,-6.129923901,-7.147476897,-6.445376078
FBXO3,-3.308072876,-4.310457042,-3.432375816
CYB5B,-6.01475783,-5.003073146,-5.367361977
SURF4,-5.977223212,-5.987088603,-6.934879813
SCRN2,-2.486963688,-2.910785611,-2.910762313
MCM3AP,-4.196895779,-4.499070908,-5.120948115
NCOR1,-2.264997775,-1.61947295,-1.442414645
ARHGAP32,-6.85361382,-6.004287368,-5.836785496
PTDSS1,-3.246838019,-3.292877524,-3.750806645
PELO,-2.918201822,-3.112340656,-3.778629575
MICU3,-6.447936646,-5.44081409,-5.557387304
LZTS1,-3.145358528,-4.142790734,-3.230477767
IGSF3,-6.502957635,-5.521826817,-5.560030783
SEZ6L2,-1.454000816,-1.468676156,-2.336807179
NELFA,-4.049607127,-4.94903151,-4.696898992
PLEKHG2,-3.21254598,-4.213778985,-3.449633035
IGF2BP2,-5.069674686,-4.885897883,-5.73444302
FAAP100,-4.495032153,-4.077432834,-3.778169249
ZNF250,-4.260201199,-3.263856699,-3.350080889
CORO1C,-6.132892628,-5.12970018,-5.572768991
SCFD2,-6.603286602,-5.586135117,-5.986046996
GGT7,-6.496299908,-5.494633106,-5.927453869
PGRMC1,-4.754934074,-3.757062186,-4.210342274
FOXO3,-4.166065519,-3.163544874,-3.241988109
RIOK3,-1.768087831,-1.738582528,-2.616886733
GLUD1,-6.43287327,-6.676102425,-7.266182238
BCKDHB,-5.313075653,-4.311941441,-4.644407895
MAPK14,-0.021695961,-0.048362746,-0.104415198
XKR6,-4.683839049,-4.972292873,-4.619048647
TBC1D24,-6.532009152,-7.542519976,-6.662029821
ATAD2B,-5.671578696,-6.687287414,-5.940653344
SCRN3,-5.280800599,-4.681434895,-5.620707716
DMAP1,-2.735501012,-3.2502951,-2.257534707
MPDZ,-4.653203725,-5.657638095,-4.720243812
CNTN1,-7.375513392,-7.395938255,-8.358569857
LINGO1,-5.667636528,-4.74841693,-5.390527409
MANEAL,-1.974836979,-1.988120763,-2.956595668
CSNK1A1,-3.036879999,-4.078732447,-3.237998017
ZGPAT,-2.738836967,-2.898941192,-3.772480843
SNX6,-5.024460527,-5.605880463,-5.980874034
MFN2,-3.837737473,-4.243739667,-4.865453182
LONRF2,-3.21973936,-3.659140475,-4.098867335
BECN1,-2.048205006,-1.838048896,-1.794464025
DDX27,-6.245077683,-5.244015498,-5.731332385
ZFYVE1,-4.293822639,-5.298032081,-4.479730428
PDP1,-4.762040847,-5.385090855,-5.447432724
SRSF9,-7.705260634,-6.782668147,-7.427634233
ATP6V0D1,-6.994137899,-7.968916956,-7.296647411
SESN2,-5.646830396,-6.656985206,-6.137179074
STAG1,-4.924278156,-4.876104687,-5.884814641
KBTBD7,-3.645069866,-3.30831398,-3.543602833
AMACR,-4.086182046,-4.65484715,-5.064531966
SNPH,-6.728530359,-5.777706252,-5.69921819
WDR37,-5.959080382,-6.002185011,-5.176718554
ACAT2,-6.973630249,-6.660461545,-7.722521316
TCEA2,-1.60620067,-1.389499771,-2.233937388
FBRSL1,-3.447098312,-2.446775167,-2.986757597
TRIP4,-4.388442704,-3.379051687,-3.406580301
SFPQ,-9.008413001,-8.418895314,-9.360095957
PTBP3,-4.137099893,-3.697327851,-3.519968482
GANAB,-6.825797222,-7.752702646,-6.703868038
PACSIN2,-5.819477744,-5.102885135,-5.994755547
SLC9A3R2,-3.012512748,-2.512594635,-3.536452239
GBA2,-6.465895056,-5.486482514,-5.438297552
SRGAP2,-4.388144511,-3.73151835,-4.381924253
DHODH,-5.641093646,-5.743195978,-6.689103215
NPEPPS,-5.547413736,-6.063519225,-6.5658543
NCOA5,-5.844373601,-4.846117547,-5.404826742
FAM3C,-3.721265588,-4.07243052,-3.107627191
USP19,-6.919165256,-5.912491416,-6.447937913
PCDHA4,-2.099199729,-3.095308396,-2.102947564
RBM27,-3.616197254,-3.45728992,-4.523994411
CAB39,-3.338131152,-4.049172995,-4.225920612
RASAL2,-2.975303147,-3.913208358,-3.646490611
PHACTR4,-4.025865246,-4.928755795,-4.639811477
VPS51,-4.133828681,-4.642595126,-5.160216689
