PG.Genes,ConditionNorm_P_50_1_log2,ConditionNorm_P_50_2_log2,ConditionNorm_P_50_3_log2,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
ADGRL1,-3.547741059,-3.568376817,-3.93161714,-3.042113179,-3.039731094,-3.210990524
GNAQ,-5.761425001,-6.00457956,-5.585999774,-5.16438299,-5.06500601,-4.924089459
PFDN2,-6.579393593,-6.949147411,-6.907398578,-5.322889777,-5.99290397,-5.478038178
NDEL1,-3.873599072,-4.025688267,-4.18272865,-3.522440894,-3.330209393,-3.699354028
MAD1L1,-5.03361971,-5.258333259,-5.003927631,-2.960783146,-2.967630181,-2.996089427
MTMR7,-3.572852171,-3.907270037,-3.66990011,-2.987888458,-3.529037765,-3.534116947
PIN1,-5.551688288,-5.730272001,-5.298363748,-4.535985505,-4.508074066,-4.669305948
LHX4,-3.543785887,-3.979074026,-3.797595705,-2.42689164,-2.309904154,-2.517553094
PCDH1,-3.629719986,-3.821137537,-4.032617083,-3.687362672,-3.323035116,-3.836176562
KSR2,-5.167763606,-5.355208251,-4.915452246,-3.498912908,-3.307244076,-4.177463816
NUDT16,-4.987532572,-4.638079523,-4.541835863,-3.753893377,-4.190290097,-4.325354025
TMEM63B,-4.305982485,-4.12480134,-4.507543075,-3.222588952,-3.135340332,-3.455116508
GPN1,-5.926853591,-6.27486968,-6.333637945,-5.766679053,-5.13644761,-5.87845278
EIF2B4,-5.994975419,-5.665269793,-6.085973073,-4.962460509,-4.629860949,-4.777713652
GPC2,-4.88330915,-5.046498855,-5.348621769,-4.742862302,-4.85110967,-4.22469703
MFSD10,-6.439600681,-6.419946571,-6.040228445,-5.55352323,-5.459732213,-5.196545657
GEMIN4,-5.511425774,-5.130287853,-5.386396015,-4.809270324,-4.981267268,-4.580317071
TTC33,-4.815857087,-4.608708056,-5.09603081,-3.312933399,-3.123910635,-3.493078911
CILP2,-3.610625126,-4.002668638,-4.018228938,-3.940071907,-3.98297533,-4.984395006
ANKFY1,-6.427997929,-5.951331512,-6.070018055,-6.065701896,-6.143447717,-5.441863978
HSPA12A,-8.802887899,-9.210580749,-9.092425585,-9.559954476,-9.525550511,-10.27451937
APRT,-6.15908083,-5.740225093,-5.695496305,-5.544749827,-5.983950458,-5.200413506
PGAM1,-8.58644341,-8.763004873,-8.577635366,-8.563807828,-8.595493064,-8.425391224
GFRA1,-4.220697911,-4.708856267,-4.416199265,-2.939586592,-3.192477027,-3.480142449
CHMP4B,-5.111863742,-4.939567811,-5.401431715,-5.681051982,-5.89491676,-5.501326508
EPM2AIP1,-4.934826328,-4.85045539,-5.32461862,-4.469414742,-3.623622627,-4.064957369
SIN3B,-4.076325889,-3.812603356,-4.315809686,-3.448767753,-3.553066333,-3.086521738
FKBP1B,-5.255956706,-5.057561859,-5.45422064,-3.711524155,-3.798259387,-3.93011299
HIKESHI,-6.393547512,-6.906850801,-6.512265957,-5.555578798,-5.432596397,-5.459535216
ELAVL2,-4.485840366,-4.961501398,-4.48367821,-3.584016698,-3.489760298,-3.611672727
SAP30BP,-4.823107277,-4.898336789,-5.332590344,-4.469872558,-4.336904541,-4.435040243
PHC2,-3.75231659,-3.770768772,-3.427159554,-2.299931031,-2.650915583,-2.541296951
PSMD9,-6.162416677,-5.73728432,-5.629925152,-4.57373867,-4.514737003,-4.089472454
DCX,-4.522864613,-4.559121123,-4.095319163,-3.723987275,-3.879359609,-3.857499195
SORBS1,-5.083040405,-4.558115092,-4.890400262,-3.978380029,-3.671506936,-3.875143542
KCMF1,-4.955945329,-4.43397516,-4.49699522,-3.862734836,-3.809974539,-3.824324213
PRPF38B,-4.987009164,-5.473330178,-4.947775012,-4.08706279,-4.043176006,-4.103449466
PGLS,-5.871203361,-6.413154317,-6.203444489,-5.444973727,-5.361820785,-5.574058215
GFRA2,-4.769892149,-5.326211072,-5.059767981,-3.309134938,-2.841325806,-3.362279405
UNCX,-2.910113619,-3.400980143,-2.886978424,-2.534470907,-2.067622537,-2.053106809
RING1,-4.628592127,-4.062594234,-4.356024161,-4.562191389,-3.659184873,-3.872522858
PARD3,-4.309179483,-4.779576173,-4.778034933,-3.376673753,-3.86790669,-3.709882703
MB21D2,-5.589102448,-5.07370613,-5.062127135,-3.574897204,-3.722119134,-3.495710835
RTN1,-6.448667868,-6.122586845,-5.869336532,-6.098167128,-5.420146129,-5.860955005
ZNF195,-3.337772293,-3.498886609,-3.4251836,-2.219648833,-2.110432087,-2.484541373
PATZ1,-2.755288644,-2.165940258,-2.326451703,-1.706086687,-1.721620743,-1.841648459
