PG.Genes,ConditionNorm_P_50_1_log2,ConditionNorm_P_50_2_log2,ConditionNorm_P_50_3_log2,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
DNER,-2.903799466,-2.692827646,-2.861262191,-2.506902958,-2.805431767,-2.502980686,-1.69506513,-1.822972856,-2.080788471
TMEM132E,-3.767232287,-3.584985946,-3.79214525,-3.565849143,-2.982307221,-3.232405475,-2.45360553,-2.502490343,-2.927472336
CADM4,-3.838014094,-3.980060365,-4.093603201,-2.888558877,-2.80127746,-2.798408694,-2.368314504,-2.393194328,-2.791951112
KDM4A,-4.522684833,-4.274096341,-4.451918749,-3.0834056,-3.619090783,-3.181320575,-2.366324122,-2.198997471,-2.829344679
CCDC71,-3.050365954,-2.987921514,-3.23543285,-2.624141233,-2.748275554,-2.81193754,-2.113580073,-2.024050135,-2.938259155
NRXN2,-4.533197357,-4.300115295,-4.286773952,-2.912614168,-3.857718908,-3.112563627,-2.863316212,-3.047239771,-3.180148908
TANC2,-3.768097391,-3.669858671,-3.585066907,-3.34644139,-3.2859232,-3.720127778,-3.680584,-2.840442086,-3.387574318
FBXL20,-5.160688135,-4.941056651,-4.8966365,-4.722491051,-4.245044423,-4.617929231,-4.456373184,-4.356380458,-3.736397053
ABHD12,-4.884588175,-5.013388958,-4.717829784,-4.133786445,-4.921243721,-4.329078944,-4.466060759,-4.323587042,-5.03560264
BACH2,-3.462958345,-3.671825723,-3.681415815,-2.646515624,-3.081464572,-3.153309464,-2.119122325,-2.793542698,-2.787841559
GNA13,-5.651684347,-5.724077152,-5.954547784,-5.050078658,-5.214131209,-5.591784972,-4.697489883,-4.68825239,-4.920098231
OLFM3,-2.703412064,-2.722553553,-2.840212353,-2.388336486,-2.141329804,-2.17755663,-1.812626148,-1.768537861,-1.859111297
PEX5,-4.69735656,-4.93802904,-4.950531367,-4.464043835,-3.78147102,-4.382968594,-3.618351885,-3.526293656,-4.126003127
FBXO44,-3.901627435,-4.197139285,-4.065888039,-3.381935528,-3.310622713,-3.412164177,-2.953445313,-2.96989968,-2.813204494
PDE12,-8.03114495,-7.745347965,-7.727358198,-5.523749982,-5.87122129,-6.580803226,-6.223521104,-6.105468045,-5.683879938
PAPSS1,-4.233913488,-4.478361012,-4.537068455,-3.416594022,-3.486913804,-3.646777752,-2.843212914,-2.898544352,-3.669468682
