PG.Genes,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
MINDY1,-3.377963435,-3.391428923,-3.080290631
TTC33,-3.312933399,-3.123910635,-3.493078911
KIF26A,-2.896365178,-2.81039124,-2.548605777
MFSD10,-5.55352323,-5.459732213,-5.196545657
SBK1,-3.502564291,-3.878767909,-3.722955741
LRRC47,-4.813456331,-4.922829177,-5.197471119
RBM4,-2.580547629,-2.285497779,-2.63057594
LPCAT4,-4.320020135,-3.964032587,-3.980276007
ACADSB,-4.800675805,-4.909891276,-4.624461175
PPIA,-5.471124102,-5.389476555,-5.765333952
ELAVL4,-3.277152839,-3.313155113,-3.644274559
DACH1,-2.331504161,-2.718243513,-2.517864105
TBC1D13,-4.021428835,-3.82822908,-3.632392496
SLC35E1,-3.784157731,-4.145398448,-4.018751211
ZNF598,-3.607708076,-3.237918551,-3.274859146
WAPL,-3.143768406,-3.146413364,-3.498592107
IGLON5,-3.875849128,-3.818973553,-4.197387111
PTPRG,-3.675219025,-3.62164771,-3.320299903
TOR1AIP2,-3.50553467,-3.903563808,-3.682408655
SNAP29,-4.37356606,-4.433522145,-4.128182208
ACP2,-6.07888893,-5.981640998,-6.373334581
FBXO22,-4.534805041,-4.67569566,-4.934912385
PAFAH1B1,-10.02276737,-9.784310934,-9.82700362
SH3BGRL2,-7.192800611,-7.334212486,-7.385639547
OLFM3,-2.388336486,-2.141329804,-2.17755663
PHC2,-2.299931031,-2.650915583,-2.541296951
NELFE,-2.728999901,-3.073332273,-3.038607256
SH2D3C,-3.181882962,-2.813657148,-2.82069297
SLMAP,-5.317102844,-4.978130693,-4.930690867
RANBP9,-3.048966687,-2.68856742,-2.794690712
RUNDC3A,-3.847247361,-3.45839205,-3.728152543
TUB,-0.805830533,-0.724283162,-0.768409878
LONP2,-4.784613537,-4.992407087,-4.583597251
NXF1,-4.874873556,-4.712740845,-5.114678987
ATAT1,-6.965331069,-6.57477842,-6.784923621
MSH6,-10.76979401,-10.92990583,-10.61011391
RHBDD2,-6.814630091,-6.525292487,-6.742995216
SURF4,-6.422441421,-6.234174182,-6.647835913
HSPA1L,-5.412766552,-5.020264171,-5.059834645
RNF220,-4.0837041,-4.179534147,-3.929804586
TRIM13,-2.62501118,-2.833757869,-2.458700038
WASF1,-4.316865474,-4.700706389,-4.332525647
NCOR1,-2.479776555,-2.327454328,-2.521254981
DDX6,-5.52019048,-5.811959191,-5.392240227
PGAM1,-8.563807828,-8.595493064,-8.425391224
FOXRED1,-5.877458953,-6.05458471,-5.638602912
ALG9,-4.597272074,-5.01556709,-4.696192184
PELO,-3.290960378,-3.488926412,-3.405681917
SNX11,-6.517702818,-6.52112865,-6.166330495
KIF3A,-11.10212023,-10.89555538,-10.8549337
ETNK1,-2.818619394,-2.534412411,-2.390739407
CRKL,-7.304908798,-7.3274092,-6.968783277
SCAMP3,-3.270634803,-3.474073492,-3.342194243
STK25,-4.648121638,-4.385565909,-4.79880847
CDIPT,-4.94490278,-4.968196081,-5.331713453
SMU1,-5.720699856,-5.330313344,-5.645530019
SORCS3,-2.658869417,-2.739841059,-2.865489234
ATXN7L3,-1.064672208,-1.358694569,-1.057593084
SPTBN4,-1.972102527,-1.875567348,-1.835501863
NDEL1,-3.522440894,-3.330209393,-3.699354028
SRSF8,-4.709121738,-4.309449933,-4.61624943
LYPLA2,-6.720470813,-7.107035384,-6.74830293
YRDC,-5.723943847,-6.035781144,-6.120499378
NCOA1,-2.725154328,-3.044229296,-2.673740945
GSK3A,-4.370266692,-4.396132876,-4.070828635
PELI2,-3.129145481,-3.53236111,-3.148361936
SPECC1,-4.618438616,-4.960390741,-4.997456885
SLC22A23,-6.579181202,-7.011353379,-6.686404447
NXN,-3.967254655,-4.151344205,-3.915255819
POLR3F,-3.431004829,-3.395337495,-3.805955716
LEMD3,-1.894842723,-1.872597537,-2.068268734
NFASC,-4.649715143,-4.336164761,-4.209543333
BCL11A,-2.786824548,-3.209731003,-3.067005919
