PG.ProteinGroups,Ratio_log2_50,Ratio_log2_150,Ratio_log2_300_2
Q8NFT8,4.52869339823341,4.88305263143388,5.41741716382201
O00560,15.7125610539035,17.2049956292163,NA
P51784,5.74505104163231,NA,7.42742182999517
Q6IEE7,3.82238224417898,4.35720905561319,NA
Q8NFZ8,19.2734362996864,20.4522192046031,20.1130423517749
Q9BTT0,15.7412550479299,NA,NA
O75164,18.8015779154488,20.0721760888583,20.53627224918
Q8TC26,6.11935925832395,NA,NA
Q92993,17.7048001354972,19.0239436628133,NA
Q8IV32,4.70899649960213,5.01108689957878,5.12420252142443
Q9P2S2,7.56304815733983,8.75059982506585,8.17227586788615
P42224,11.3795536721636,11.5340355580487,NA
Q9HCD6,6.65534144006882,6.97875872091339,6.70260972828027
Q8IVW6,8.17655017038943,NA,NA
Q96IG2,8.84251493716097,9.16564235738854,9.61868434153626
Q86U70,12.9967150371872,13.0472866643386,NA
Q8N2K0,8.35135625596714,8.90686548714748,8.55191873055252
O43526,2.55110269144683,NA,3.60649848791526
Q9BYV9,9.45422103927675,10.0445821898961,NA
P61006,17.7469912438271,19.1137766329929,NA
Q9P2Y5,11.329956136789,NA,NA
Q14344,7.01877980816567,7.52872575054392,7.52437795302046
Q96PB7,1.03429190925355,1.5792888324971,NA
P50542,7.24131342160063,7.79637386799916,7.70417592173697
Q9H4M3,4.07973632853851,4.76368883911065,NA
O00506,8.09016038129546,8.41940727617069,NA
Q9P0I2,18.1369262280194,18.951549276902,NA
Q6L8Q7,12.7797654049499,14.6538920801266,NA
O43252,10.8709783697087,11.862425577058,11.2398081883528
Q01082,4.4574422634042,NA,NA
P61018,3.79427490052969,NA,NA
P56211,6.89888938555595,6.8408551877289,6.92069790891384
Q9H3K2,6.4372592246722,7.6550604481003,NA
O94985,3.084974754929,3.83269112382441,4.71389291468579
Q9Y3I1,11.3240710798946,12.5508904922072,12.1943927324005
Q9BZA7,7.36824055576422,NA,NA
P07858,17.4757229926705,17.4074818736532,NA
P38606,8.63064383747338,9.95182449110413,NA
P42229,3.00444309934638,NA,NA
O14775,3.546436089597,4.57218072302775,4.27780753867555
Q9ULU8,7.27871412958007,7.69145795788306,NA
Q9Y315,16.3136932527999,NA,NA
O96005,5.48461112042792,5.80751016409235,NA
Q92945,8.59721683329482,8.86556443872311,NA
Q8IUH5,19.2027007918884,20.0556562132668,NA
O94898,18.9601829057588,19.4480228279981,20.5242365767368
Q9UDT6,2.33966050429846,NA,NA
P35716,2.96071493097073,3.64192387114788,4.21074222310175
Q9Y3C6,8.09251777887225,9.0710503896997,NA
O75746,8.7855818930543,NA,NA
Q86XL3,8.88683957095745,NA,NA
Q13895,10.1057113176657,10.5980436591302,10.8399029184314
P26378,19.3129369683654,19.940341551115,NA
Q86Y79,9.16214810738854,9.57268808770809,NA
Q96S55,6.87421974734894,6.98857656022039,7.77468434460601
Q9UQ35,18.0595434710845,NA,18.4767265931519
Q92879,18.0098217353578,19.4820174736376,NA
Q92616,1.91417968742422,NA,NA
Q9ULH0,12.2700418945931,NA,NA
Q9Y2H5,19.9522016219225,20.6140481088538,20.2770561034377
Q9BRK4,10.2636571496239,NA,NA
P48664,19.4737818372518,20.6204267225025,NA
A1L0T0,7.58192224821238,8.39178742677788,7.85721819759837
Q6PI78,9.08010563729684,9.28024063058564,NA
O14525,3.04156409216144,NA,NA
O94910,19.6851198469662,20.2113834856266,NA
P50148,17.4920716633114,18.1884906544473,NA
Q9UHV9,16.3460980864337,17.7754584861355,17.5843180977726
Q9GZM8,11.572051052936,12.0752984261774,12.2301125700514
P15822,7.16290028103893,NA,NA
Q9Y6D9,18.2198769541435,20.2858664831579,NA
Q14137,2.05031112583077,NA,NA
Q9Y216,2.78687856225226,2.92774090703784,NA
Q13526,17.7018083757833,18.7175111590185,18.1461887257088
Q969G2,19.4559009597006,20.8266050246522,NA
Q9NZV5,1.80023174389314,NA,NA
Q04637,13.7674319642355,NA,NA
Q08174,4.51795001817003,4.65172488278062,NA
Q6VAB6,7.53128922217087,9.20013992014237,NA
Q96GS4,17.2497893981207,NA,NA
