PG.ProteinGroups,Ratio_log2_x,Ratio_log2_y
Q01082,4.4574422634042,NA
P61018,3.79427490052969,NA
P56211,6.89888938555595,6.8408551877289
Q9H3K2,6.4372592246722,7.6550604481003
O94985,3.084974754929,3.83269112382441
Q9Y3I1,11.3240710798946,12.5508904922072
Q9BZA7,7.36824055576422,NA
P07858,17.4757229926705,17.4074818736532
P38606,8.63064383747338,9.95182449110413
P42229,3.00444309934638,NA
O14775,3.546436089597,4.57218072302775
Q9ULU8,7.27871412958007,7.69145795788306
Q9Y315,16.3136932527999,NA
O96005,5.48461112042792,5.80751016409235
Q92945,8.59721683329482,8.86556443872311
Q8IUH5,19.2027007918884,20.0556562132668
O94898,18.9601829057588,19.4480228279981
Q9UDT6,2.33966050429846,NA
P35716,2.96071493097073,3.64192387114788
Q9Y3C6,8.09251777887225,9.0710503896997
O75746,8.7855818930543,NA
Q86XL3,8.88683957095745,NA
Q13895,10.1057113176657,10.5980436591302
P26378,19.3129369683654,19.940341551115
Q86Y79,9.16214810738854,9.57268808770809
Q96S55,6.87421974734894,6.98857656022039
Q9UQ35,18.0595434710845,NA
Q92879,18.0098217353578,19.4820174736376
Q92616,1.91417968742422,NA
Q9ULH0,12.2700418945931,NA
Q9Y2H5,19.9522016219225,20.6140481088538
Q9BRK4,10.2636571496239,NA
P48664,19.4737818372518,20.6204267225025
A1L0T0,7.58192224821238,8.39178742677788
Q6PI78,9.08010563729684,9.28024063058564
O14525,3.04156409216144,NA
O94910,19.6851198469662,20.2113834856266
P50148,17.4920716633114,18.1884906544473
Q9UHV9,16.3460980864337,17.7754584861355
Q9GZM8,11.572051052936,12.0752984261774
P15822,7.16290028103893,NA
Q9Y6D9,18.2198769541435,20.2858664831579
Q14137,2.05031112583077,NA
Q9Y216,2.78687856225226,2.92774090703784
Q13526,17.7018083757833,18.7175111590185
Q969G2,19.4559009597006,20.8266050246522
Q9NZV5,1.80023174389314,NA
Q04637,13.7674319642355,NA
Q08174,4.51795001817003,4.65172488278062
Q6VAB6,7.53128922217087,9.20013992014237
Q96GS4,17.2497893981207,NA
Q96DE0,18.615417140796,19.0632065670496
Q5T3F8,3.11841031239719,4.20180384510692
Q9HCN4,16.9786269846747,17.4868176114019
Q9UI10,17.25852124481,18.4757830122411
Q8N158,10.1521337959003,10.4557703491319
Q15262,11.0679349280876,NA
Q14728,7.47030190025269,8.43051625802125
P57678,3.32186852608733,3.89899421640856
Q9P2G1,11.2708117652787,NA
O00264,6.81697180851728,NA
Q6PID6,18.4376395769398,19.94056326495
Q8IUL8,9.95565173543388,9.97534504334583
Q9P2R3,6.92109997665191,6.9254161351843
Q6YN16,24.4172735141577,NA
O43301,3.85580411227692,3.38827522155846
P07741,17.5132715708797,17.7087468368006
