PG.ProteinGroups,Ratio_log2
Q9NUY8,18.2208052976067
Q6PJG6,19.9339456426344
Q9H7F0,9.96418418179666
Q9GZT9,18.9953763470265
Q6NT76,8.61828024799581
Q96I51,19.4017967229986
Q92925,7.45194592136886
Q13569,5.00444578154101
Q9Y2H5,20.2770561034377
Q9ULP9,6.43177641237917
A1L0T0,7.85721819759837
Q9H1A3,18.6502606393375
Q9UMN6,19.4618998848552
Q9P2S2,8.17227586788615
Q08379,19.591163503214
Q9H832,6.16858315148831
Q8WUD1,17.4354434117751
P12270,2.83109263492902
Q6IAA8,18.2943045087905
P04035,8.13086843431465
Q8N806,12.3576585055799
Q9Y5R8,0.743318033279536
P20338,0.583473679165223
Q12888,14.523621845537
Q00403,18.9341481980003
Q96CT7,12.0077559981434
Q13526,18.1461887257088
P49721,8.73124796941645
Q9C0D0,9.44952925068337
O60293,2.22722297440176
Q8N8R5,8.74772421292282
P36894,18.904615592066
Q8IVU1,10.7804570471878
Q9UI30,19.0012953427433
P36915,16.9703694452807
O75976,2.34786187212344
Q92900,6.36754998677687
Q9NYY8,8.33810580967669
Q9UBI9,9.66906002920368
Q8N158,10.7036721279806
Q9NY72,2.67492210195499
Q9NPZ5,12.2465669557822
Q9BRD0,1.5786677107342
O95819,7.83064147275573
Q96BX8,8.81177657647984
Q96Q42,9.02962558853121
O75688,7.89082872406944
Q9Y2I1,19.6624093178828
Q9NXH9,13.1590289586898
Q8IVL0,8.61649259018636
Q8NFP4,8.02336607168931
Q9BYD1,9.48143404149514
Q5T3F8,3.64504080744869
Q9ULJ6,3.78916130992754
Q9UPU3,2.98269783328427
Q9UHR5,18.3832206994163
P51812,18.7982800338913
Q9NQG5,18.934201149131
Q658Y4,17.7572529868785
O95758,2.15754226906225
O75182,19.064089471614
O43526,3.60649848791526
Q13485,4.8410037998881
Q9BY43,7.29065001378644
Q96CX2,19.6298639273177
Q6ZT07,16.2394269610654
Q96HE7,5.85950689141162
Q76G19,11.9914757488409
P53804,9.78742823509731
Q9Y4P1,16.3643774511545
O43301,3.37504066762803
Q9HCK5,19.441990213175
Q6P995,8.05937706816806
Q9H6U8,18.257106395788
Q5T8D3,18.7099290316863
Q14318,8.37649339075596
Q06136,5.90016077567811
P51116,6.25297110455921
Q16512,5.42945685021863
Q9NYB0,10.2810473758512
Q9BUN8,1.88270866292728
Q86VS8,5.84255524749937
Q9Y6I4,9.51954854516632
O75190,20.2096320848847
Q9H4L4,5.6768996039074
Q9HCD6,6.70260972828027
Q9P2N5,19.399707424456
Q9Y2G5,0.931160359086431
Q7L523,18.4016882280809
Q7Z460,15.670569513416
Q5VSG8,12.2436983405922
P05165,1.27964102804076
O43310,6.39832953501705
O94953,11.6601943756501
Q8IYB1,10.0203783298332
O43252,11.2398081883528
A2RRP1,6.63182225689843
P23743,10.6214721941805
Q9UI08,7.60300109896396
Q96S55,7.77468434460601
O95983,10.8738142664356
A7MD48,9.46387605255365
P09471,6.26872675775839
Q9NP72,4.22120980630124
P0CK96,1.66774224005283
Q9H6T3,3.45411429038683
Q8NEY1,7.90114101976116
Q86V59,4.03159507956477
Q9BSV6,5.20434042070616
P18669,1.03789864624994
Q86Y82,19.5189051326741
Q8WZA1,1.97264698834187
P51784,7.42742182999517
P25705,17.3779923640751
Q9Y5V3,7.31174315825995
Q5VTL8,18.6184710016909
O15270,18.8258118629672
Q9H1B7,13.2721166475153
Q10471,3.60855459036547
O43312,19.4965664324068
Q8IZD9,6.04725845710744
P60510,8.34504437152638
Q5VWQ0,1.87799273510479
Q9P0K1,8.15018043451398
O75376,2.19330840154255
Q8N3C0,2.38223933879204
Q14202,13.9693224496891
Q9Y2B0,16.8608463512657
O14522,10.4480891013231
P48634,6.78806001062379
Q9NZ94,11.1814370138102
O43913,7.93766474336034
Q9UH73,2.40477381304761
P56211,6.92069790891384
O15550,21.9304000380879
O94898,20.5242365767368
Q9Y580,9.01602776951052
P68106,18.9859609702153
Q15067,8.020779337257
A1L020,9.56675077206498
P61106,12.9981130355604
P98175,8.31128224169803
P10586,8.82808849233458
Q9ULI0,5.55805961442937
Q9NRW7,6.20334623423734
Q8N2K0,8.55191873055252
Q9BWF3,14.3318910700593
P15260,2.53841156357284
Q9Y547,8.94798732659666
Q75T13,8.09736470928294
O95864,2.59888987464088
Q9C0C4,18.7552623832924
P61247,16.3735648313364
Q8NFG4,10.0446604057515
O94991,8.7961622519257
Q9NR46,16.4773302555789
P37837,4.59130810776317
Q8IUR7,7.98885437187702
Q96FJ0,18.743174582516
O94829,1.76864821972341
Q9H2X9,11.9623337929248
Q9BWM7,18.4440026257565
Q9BQI5,18.5730280042564
Q9UBB4,19.3378621008021
Q96ST3,6.82977436709799
Q96MZ0,17.6730270483424
