PG.ProteinGroups,Ratio_log2_50,Ratio_log2_150,Ratio_log2_300_2,Ratio_log2_300
Q9H3K2,6.4372592246722,7.6550604481003,NA,7.70620755873367
O94985,3.084974754929,3.83269112382441,4.71389291468579,4.79090492066627
Q9Y3I1,11.3240710798946,12.5508904922072,12.1943927324005,12.9364454998233
Q9BZA7,7.36824055576422,NA,NA,NA
P07858,17.4757229926705,17.4074818736532,NA,18.30651752955
P38606,8.63064383747338,9.95182449110413,NA,9.98229546710588
P42229,3.00444309934638,NA,NA,NA
O14775,3.546436089597,4.57218072302775,4.27780753867555,NA
Q9ULU8,7.27871412958007,7.69145795788306,NA,8.21175722083315
Q9Y315,16.3136932527999,NA,NA,NA
O96005,5.48461112042792,5.80751016409235,NA,5.39423576563338
Q92945,8.59721683329482,8.86556443872311,NA,9.81361379946405
Q8IUH5,19.2027007918884,20.0556562132668,NA,20.6971732929636
O94898,18.9601829057588,19.4480228279981,20.5242365767368,20.8674459578462
Q9UDT6,2.33966050429846,NA,NA,NA
P35716,2.96071493097073,3.64192387114788,4.21074222310175,4.28971344441927
Q9Y3C6,8.09251777887225,9.0710503896997,NA,8.73354606009926
O75746,8.7855818930543,NA,NA,NA
Q86XL3,8.88683957095745,NA,NA,NA
Q13895,10.1057113176657,10.5980436591302,10.8399029184314,10.7489510720475
P26378,19.3129369683654,19.940341551115,NA,NA
Q86Y79,9.16214810738854,9.57268808770809,NA,9.35465957826679
Q96S55,6.87421974734894,6.98857656022039,7.77468434460601,8.60653569141144
Q9UQ35,18.0595434710845,NA,18.4767265931519,NA
Q92879,18.0098217353578,19.4820174736376,NA,NA
Q92616,1.91417968742422,NA,NA,NA
Q9ULH0,12.2700418945931,NA,NA,17.6658653621294
Q9Y2H5,19.9522016219225,20.6140481088538,20.2770561034377,21.037446944598
Q9BRK4,10.2636571496239,NA,NA,NA
P48664,19.4737818372518,20.6204267225025,NA,20.7401050867662
A1L0T0,7.58192224821238,8.39178742677788,7.85721819759837,8.6258180094519
Q6PI78,9.08010563729684,9.28024063058564,NA,9.79791394936231
O14525,3.04156409216144,NA,NA,9.2705673593017
O94910,19.6851198469662,20.2113834856266,NA,20.789476823824
P50148,17.4920716633114,18.1884906544473,NA,18.2728018874735
Q9UHV9,16.3460980864337,17.7754584861355,17.5843180977726,18.247733941645
Q9GZM8,11.572051052936,12.0752984261774,12.2301125700514,NA
P15822,7.16290028103893,NA,NA,NA
Q9Y6D9,18.2198769541435,20.2858664831579,NA,20.5008242697488
Q14137,2.05031112583077,NA,NA,NA
Q9Y216,2.78687856225226,2.92774090703784,NA,NA
Q13526,17.7018083757833,18.7175111590185,18.1461887257088,19.1132501592414
Q969G2,19.4559009597006,20.8266050246522,NA,21.8330876177872
Q9NZV5,1.80023174389314,NA,NA,2.66144867800475
Q04637,13.7674319642355,NA,NA,NA
Q08174,4.51795001817003,4.65172488278062,NA,5.82443034816073
Q6VAB6,7.53128922217087,9.20013992014237,NA,NA
Q96GS4,17.2497893981207,NA,NA,NA
Q96DE0,18.615417140796,19.0632065670496,NA,19.5142318597038
Q5T3F8,3.11841031239719,4.20180384510692,3.64504080744869,4.42418555894774
Q9HCN4,16.9786269846747,17.4868176114019,NA,19.4779215342572
Q9UI10,17.25852124481,18.4757830122411,NA,19.0309457498042
Q8N158,10.1521337959003,10.4557703491319,10.7036721279806,11.313401457413
Q15262,11.0679349280876,NA,NA,12.0025926494627
Q14728,7.47030190025269,8.43051625802125,8.78228740177843,9.40964761867431
P57678,3.32186852608733,3.89899421640856,NA,NA
Q9P2G1,11.2708117652787,NA,NA,NA
O00264,6.81697180851728,NA,NA,7.50825939418993
Q6PID6,18.4376395769398,19.94056326495,19.9007491475767,20.4833293869445
Q8IUL8,9.95565173543388,9.97534504334583,NA,NA
Q9P2R3,6.92109997665191,6.9254161351843,NA,7.5484360310705
Q6YN16,24.4172735141577,NA,23.3074287583167,NA
O43301,3.85580411227692,3.38827522155846,3.37504066762803,NA
P07741,17.5132715708797,17.7087468368006,NA,18.6864279927996
P18669,1.21141022167515,1.23404580309944,1.03789864624994,NA
P56159,7.11061309108491,8.33433532914564,8.62537496016622,9.14390993318877
Q9Y693,13.5791123096563,NA,NA,NA
Q86UN3,9.05977647720736,NA,NA,10.1502347896696
Q9H444,3.50610574305038,2.93691750310609,NA,NA
Q7L775,18.3186703364127,19.188539295079,NA,19.3932611622146
O75182,19.1771707754346,19.8047289109104,19.064089471614,NA
P68106,17.997539958457,19.4552372774853,18.9859609702153,19.588067741134
O60422,1.24767505016044,NA,1.91902133613738,NA
O43639,7.11583903242626,NA,NA,NA
Q53FT3,8.33765477696957,9.39038551816018,NA,10.1608672123263
Q12926,18.7676562982528,19.6694799664484,NA,20.1796503985388
Q06136,4.83662690694498,NA,5.90016077567811,5.83225897400451
Q13838,8.93997177896787,NA,NA,NA
Q9UHR5,18.3551598755773,18.818456420906,18.3832206994163,19.4370364113209
Q8IXK0,3.2788352177756,4.48985485684528,NA,NA
Q9BU61,11.6303809243302,NA,NA,NA
Q9BR01,1.46158124310798,NA,NA,NA
Q15257,4.74003796229306,NA,NA,NA
O00233,17.5162123442543,18.7387596612149,NA,19.4852110295619
Q9ULK4,9.40482441020077,NA,NA,NA
Q96FT7,17.3464202194478,NA,NA,NA
O43602,8.71920762961496,9.38457304767018,NA,10.1003816129109
Q9BX66,12.1257886022745,13.1410453225187,NA,12.5718150664693
Q9P0J7,7.62308276431307,8.29575377154221,7.4052839105472,NA
P52597,6.08593924529033,NA,NA,NA
Q5VTL8,18.2664874999847,19.1664338744652,18.6184710016909,19.1461542350849
O95248,12.2831013371468,NA,NA,NA
Q9P2G3,7.2996743592939,NA,NA,NA
O95336,17.0500521754384,17.8085229372521,NA,18.2468125521051
O00451,18.1937286835432,19.944361726258,NA,20.1678094142151
A6NJT0,7.22842788067479,8.07091896267797,8.74689634916697,8.76310639002858
Q8NI37,4.67961859142889,NA,NA,NA
Q5K4L6,10.9082325321029,NA,NA,NA
Q06587,18.8974725029731,19.380973806025,NA,20.652065992044
O75038,1.5656169927245,NA,NA,NA
Q8TEW0,11.6425900228189,12.7107422528435,NA,NA
Q8IYB1,10.357161354511,11.8559702809994,10.0203783298332,NA
Q13596,5.7428077097621,NA,NA,6.67342715870236
Q16799,8.99152885648764,9.25316069594045,NA,NA
O14628,0.88865258217229,2.09418734867098,NA,NA
Q9ULU4,1.96002759448207,NA,NA,NA
P24928,6.42682161611799,NA,NA,NA
Q9HBE1,10.2851780054871,10.8900089662943,10.884536240429,11.4741741645932
O43929,3.69301114966616,4.27288606278265,3.55426002607974,NA
Q9HCJ2,22.8585168682829,NA,NA,NA
Q8N8L6,8.4166424783399,NA,NA,NA
Q9UQ03,5.39048649252435,NA,NA,NA
Q9P2N5,19.2219752927402,19.6413787675838,19.399707424456,19.6372994106693
Q9H6J7,0.596056292385924,NA,NA,NA
Q9NYQ7,5.91854815066992,7.36846485620807,NA,7.89944037216383
Q13501,1.28621703328979,NA,NA,NA
P12270,1.98346802780176,NA,2.83109263492902,NA
Q9NZ53,9.27883482229191,NA,NA,NA
P46379,8.18527314233158,8.77470435167606,NA,9.67567140081303
Q9H496,10.9666607885109,11.7542362435448,NA,12.3713344951486
P02786,10.5010166762496,10.8403558054992,NA,NA
Q8WUU5,10.4755226545217,10.3350719642728,10.0467463782094,NA
A1L020,9.95039898378586,10.4400562487845,9.56675077206498,9.78101279771552
Q9ULI4,9.15146599653389,10.536673169953,10.3614865596106,NA
Q9Y376,8.62012345570992,8.82726226018803,NA,9.18576759343004
P24666,2.3130479471109,2.59965990112017,NA,3.35045127565785
Q92558,6.17986937053492,7.94927910295056,NA,NA
Q9UP83,1.88342969909492,NA,NA,NA
Q9Y4F3,9.48048067722188,9.22166839078098,NA,NA
O94868,2.59508576936171,NA,NA,NA
Q8WUN7,7.20885700517765,NA,NA,NA
Q16706,1.90629187973267,NA,NA,NA
Q15126,17.8555793665639,18.6430288203449,NA,18.848266330933
Q16555,5.31156066074515,7.53487505644876,NA,NA
Q16718,1.73733188103566,2.16070795528561,NA,2.25777317312489
Q9BRD0,1.48439178798154,NA,1.5786677107342,2.09502796117056
Q12797,1.67853250372716,0.430819378846404,NA,NA
Q86VW0,4.40987078091608,4.5336240957737,NA,4.86987773494376
O94953,10.8393863589969,12.2783329096354,11.6601943756501,12.5502558390191
P36954,4.52129414258469,NA,NA,NA
Q8NFP4,7.50488986603513,NA,8.02336607168931,NA
Q02127,10.7369419139502,NA,NA,17.5103006859856
O15173,6.65746696507617,7.87947055120853,NA,NA
P08243,3.99091688080997,NA,NA,NA
Q13569,4.8410274990917,5.00813221026427,5.00444578154101,5.63866875914644
Q9C0I3,1.13722286038501,1.60349047519258,NA,NA
Q02543,2.45909054401739,3.4275385360822,NA,3.56323313835919
Q9NRW7,6.44294275408462,6.73483876765113,6.20334623423734,6.93124912323151
P16298,17.493518128195,18.2945198468632,17.6403897597366,NA
P18074,6.77636954178168,NA,NA,NA
Q96K37,18.49739930483,19.2347454536803,NA,19.1205162939864
Q8WYK1,9.64170485631644,10.3705357552598,NA,11.5665759436056
Q13825,7.62900998034826,NA,NA,NA
Q86TN4,1.19362395018912,NA,NA,NA
Q6Y7W6,14.6666306137779,15.2089498010302,NA,NA
O15068,18.6822858167461,NA,NA,NA
P16949,3.54036649319528,3.80867387324612,NA,4.68282228749949
Q15560,12.2052578932759,11.6015431056995,NA,12.2080744250048
O15213,3.10329154832189,4.19167526488389,NA,4.53725022169951
P31930,2.40096777544999,3.2020904391876,NA,3.33399345461563
Q9Y496,2.43552268918607,3.63474892528154,NA,NA
Q8N1G4,17.1456539131835,18.3306674873786,NA,NA
P28799,0.427921879701234,0.502999918206951,NA,0.897608164080797
O94952,9.90054790562291,NA,NA,10.5818595734367
Q9UKE5,1.93784070294134,2.44880943113073,NA,NA
O75385,12.7245865337827,NA,NA,NA
P25705,15.9598762189088,NA,17.3779923640751,NA
Q5JU85,10.7650886714897,NA,NA,NA
Q9NQG5,18.3184732239295,19.3389065866519,18.934201149131,19.4260154022311
Q6ZN54,1.35610898080294,1.34257072652469,2.287585929576,1.69405790614724
P36639,12.0367693925126,NA,NA,NA
Q99873,3.9191851119356,NA,NA,NA
P55011,1.20899298793117,2.09802171214339,NA,NA
P43004,8.19854458185539,NA,NA,8.82607399176529
Q12765,17.2873721015043,18.4783907945261,NA,18.7069850292934
O75390,8.26076580225904,8.41422020879629,NA,NA
Q86V97,4.9530653334665,NA,NA,NA
O75093,19.1629400009273,20.6467369889581,NA,20.3880485083413
P62701,14.6395727133022,NA,NA,NA
P35222,12.8091127060326,13.1857734754781,NA,13.6754733719954
P48730,10.7603756377306,NA,11.3595708158867,11.2513350514342
Q99733,2.6561799811494,NA,NA,NA
Q96A35,6.39910926548927,7.12738723816306,NA,7.53834735113986
Q9Y5R8,0.503214639058988,0.49810367704757,0.743318033279536,NA
Q9H4A3,4.23082279661733,NA,NA,4.77910851764759
Q8WXI2,2.16218449227398,NA,NA,NA
Q9Y2B0,16.0579288831307,18.3792489402175,16.8608463512657,NA
Q13492,1.66059414555982,NA,NA,NA
Q9NXG6,9.34468979360289,NA,NA,NA
Q52WX2,19.0388033489474,19.5305409230905,20.727484901475,20.7230322606053
Q9P2K5,6.06223614880141,NA,NA,NA
P60510,7.88712593537146,8.84256034699211,8.34504437152638,9.14838705282275
Q9UNF1,16.7638685619778,18.8140823345825,NA,NA
Q6ZVC0,1.57359765679097,NA,NA,NA
Q9BU76,6.22971424382776,NA,NA,NA
Q8NBI6,18.5399171596555,19.605759906142,NA,NA
Q96F07,6.37122033456452,NA,NA,NA
P84095,12.4091496559159,NA,NA,11.7183975041914
O43920,1.44654257176315,2.07899460134666,NA,NA
P61086,3.62851990765356,3.96615080104706,NA,4.41134432928501
P22695,16.638041952599,NA,NA,NA
P42892,18.6492564695872,20.5035536811007,NA,20.8998766561305
Q8N0Z6,7.69189458708399,NA,NA,8.46406527954843
Q96NX9,9.61083433938233,NA,NA,NA
Q00610,11.6130982188527,13.1886954940229,NA,NA
Q15819,2.44205660001343,2.93565027301949,NA,NA
Q9UBB9,6.25157081654142,NA,NA,6.91833861733027
P29401,6.63812776182805,NA,NA,NA
Q5TGI0,9.88257821427877,10.4833762220854,NA,10.7818025238682
O43310,5.94419604727941,6.43412253823436,6.39832953501705,7.04343069697502
Q6ZNB6,1.12527502263504,NA,NA,NA
Q719H9,1.53412259747256,1.84963369237337,2.12450195685082,2.06970028897594
Q9H9T3,17.2688856932837,18.3918215719221,NA,19.845058867833
Q12852,18.2899200953276,19.5376399038419,NA,20.1461613433331
O75347,4.34304799031574,NA,NA,NA
Q86X27,1.14733727812679,NA,NA,NA
Q8N1B4,18.4336681080778,NA,NA,NA
Q12824,2.42280934290812,3.34953914426049,NA,3.370158519309
Q04656,2.79042655182278,NA,NA,NA
Q8WXF1,6.75304133574991,7.33757098964051,NA,NA
P07738,4.51701778713994,NA,NA,NA
O95782,13.2537481785308,15.0851589622878,NA,NA
P30153,13.1243351188609,NA,NA,16.3650349879501
P10586,7.16104678920976,7.75377557150694,8.82808849233458,8.92921991115366
Q99856,18.9187159955441,20.526149824296,NA,20.9172804116006
Q9BQ39,8.3571943616534,NA,7.16259438592429,8.14286894457294
O00116,1.46036972845358,NA,NA,NA
Q15717,6.09953510586039,6.98104517614163,NA,7.37432546324577
Q6P1X6,5.05132995869283,5.78641019675993,NA,6.42388110903029
Q9BXB4,4.63946114754541,4.59646856688306,NA,NA
Q96CT7,13.208529801031,NA,12.0077559981434,NA
Q9C0C2,5.83713973407037,7.01151239883,NA,NA
Q5JSZ5,9.31009353143007,10.1954032058598,10.3028147490413,10.4656996951759
Q15048,5.10495367618432,5.93136027179054,5.56602577777937,NA
Q96GD3,12.1601693343165,12.4749079232736,NA,NA
P59998,3.58192297203955,NA,NA,NA
Q6NUM9,6.00938767597867,7.70702732180938,NA,NA
P36578,4.54051568185015,NA,NA,3.86513056701894
Q8IXQ5,2.05418385113075,NA,NA,NA
O00170,5.1360810729824,NA,NA,NA
Q9H4L4,5.55771711101458,6.16744440173516,5.6768996039074,6.17380234611963
Q9BWE0,21.4550907132094,NA,NA,NA
P14416,7.17832767264265,NA,NA,NA
P30876,17.9880941994097,19.2337750145885,NA,19.1825333401591
O00743,17.2792604206242,19.6310607055825,NA,18.581367914544
Q9NXG2,11.2568713870567,NA,NA,NA
Q9H3P7,16.5878604703908,NA,NA,18.1404456666778
Q9HCM3,10.248915376692,11.6083074461282,NA,11.0497808547324
Q9HAT8,12.1619066766638,13.3203450235746,13.7206976677169,13.924186707093
Q92845,9.72043919034945,10.7790933864598,10.7207600293524,NA
O43854,8.85016646608492,NA,NA,10.0737546617137
Q15643,6.23095687060813,NA,NA,NA
O94766,9.12192589490308,9.79861535787369,NA,9.7643263794506
O00429,3.56070041812786,NA,NA,NA
Q9NR28,7.71061444364227,NA,7.73434719764923,NA
P31150,15.1308418628029,NA,NA,NA
Q59EK9,12.3986421298539,13.6289672332481,NA,13.9030907327818
Q5JRA6,12.491621335701,NA,NA,NA
Q15067,8.04170591778464,8.3738558838605,8.020779337257,NA
P30040,18.0450119648096,18.3133477116319,NA,18.651853728289
P0CK96,0.954135192749292,1.32832442559819,1.66774224005283,1.6847216367046
Q9UPV7,1.54126440245123,NA,NA,NA
P09874,3.95043718123594,NA,NA,NA
Q9NS86,6.45424557854984,5.79746413682753,NA,NA
Q9BSV6,3.19989861154394,5.30534657296488,5.20434042070616,5.70226710330165
Q7Z7L7,9.14410707747965,NA,NA,NA
Q86WA8,17.7959447843785,18.4688831272284,19.8088664171147,19.9931079818326
Q13310,5.51705928305115,6.75272715390322,NA,NA
P49458,19.089494825638,19.6620778281058,NA,NA
Q13242,14.745035166641,NA,NA,15.8258624313177
P53990,4.55142531834027,NA,NA,NA
Q96A83,10.4578255062792,NA,NA,NA
Q15631,3.71070671674584,4.61006097688824,NA,4.73392912943301
Q9UKG1,2.26318342144073,NA,NA,NA
Q8TBP6,5.37867045342153,NA,NA,NA
O14576,5.11724526500725,NA,NA,NA
O60299,9.8525241688793,NA,NA,NA
Q15120,7.58787382141553,NA,NA,NA
Q9Y5X1,17.3117846235685,NA,NA,17.8508321801432
O43155,20.4062619580345,NA,NA,NA
Q9UBI9,9.39788532059634,9.21656847214757,9.66906002920368,10.3078681902412
Q8IYT2,11.9335530593601,NA,NA,12.2666144511631
O00213,9.84919908855903,10.0853971440938,NA,NA
P04843,5.86427475144442,NA,NA,6.82890341823725
P17612,13.6845767439142,15.1758737786457,NA,NA
Q08629,10.3025762888309,11.012708118571,11.1132349334472,11.0106779708246
P61916,4.14229161174793,NA,NA,NA
P78344,3.40190571189231,NA,NA,NA
Q8NEY1,7.54464759287873,6.88115828907794,7.90114101976116,8.18544325078097
Q8IXT5,1.79539259051991,NA,NA,NA
P98172,16.889924410878,NA,NA,NA
Q99567,5.28067347085889,NA,NA,NA
Q6F5E8,16.0894079351929,NA,NA,NA
Q6KCM7,1.29576304956184,NA,NA,NA
P54756,2.21896143912318,NA,NA,NA
Q92997,3.43884123520926,NA,NA,NA
Q96SU4,8.03499424440338,8.66869591843705,NA,8.89933940572219
O95373,2.52468578757001,NA,NA,NA
Q9NW61,0.994320764229491,NA,NA,NA
Q9UBF2,6.0103186802237,6.28377562876326,NA,6.50273720302106
Q9GZT9,18.3468678570229,NA,18.9953763470265,NA
Q14108,17.8439939681696,18.1486314638852,NA,NA
Q9NUM4,1.6180234138434,1.79163164976479,NA,2.2734318953002
Q9UNF0,10.6058637096978,10.9678749908236,NA,10.7213225528066
Q8NEZ5,17.3032644118627,18.5778010045153,NA,NA
Q9BW62,13.5095003908101,NA,NA,NA
Q12955,2.16082571823176,NA,NA,NA
Q9UQ80,10.8558379976714,NA,NA,NA
Q14576,15.7626668039271,NA,NA,NA
A8MW92,7.97248087451597,NA,NA,NA
Q9P2Q2,15.5810124479317,18.9243559006804,NA,NA
Q8IVU1,8.99494082779519,10.7196041168925,10.7804570471878,10.9686517604983
Q2NKJ3,0.697380986204459,NA,NA,NA
Q99569,8.77950715393381,NA,NA,NA
P63151,6.836777159911,NA,NA,NA
Q6N022,5.07434020756639,5.19096676651664,NA,NA
Q9UPU3,1.59359247629652,2.38451139593696,2.98269783328427,3.06097425116429
P17706,2.66187297757501,NA,NA,NA
Q96EZ8,10.3444827601844,NA,NA,10.3116793678124
P09001,4.27844890905825,NA,NA,NA
Q9UKV8,3.21428364075807,NA,NA,NA
Q96ST3,7.02967298480181,8.12350820004665,6.82977436709799,NA
O14522,9.06867595638166,10.1702349213601,10.4480891013231,10.7544239815575
Q6ZSY5,6.8754592295487,7.21567622695497,NA,NA
Q9H1B7,12.2955098726843,13.2509595080768,13.2721166475153,14.4347145357799
P53999,4.80651216304868,4.7934103672692,NA,NA
P06241,7.40783610333011,NA,7.53681641923086,NA
Q9NYB0,9.74728289964938,9.7378753895032,10.2810473758512,10.4425037852435
O15027,10.6523569007841,11.4130353369312,NA,12.263121578331
P61247,NA,17.0928036502336,16.3735648313364,NA
O43312,NA,19.0004778355529,19.4965664324068,19.9230792885582
P62380,NA,19.5739285163208,NA,19.6341199554864
O15020,NA,17.7602817236907,NA,18.304579651862
P14735,NA,19.5086277751197,NA,NA
Q96S90,NA,19.8342884691334,19.1591756077797,19.3612789789817
Q9UJ41,NA,6.43358252398923,NA,NA
Q8IWT6,NA,19.1482888189607,18.5337052415964,18.7697503324985
P48634,NA,7.77152476884751,6.78806001062379,NA
P51513,NA,13.5630457809844,NA,NA
Q9ULJ7,NA,10.1259932611682,NA,NA
Q86UU1,NA,9.10375175726758,NA,9.24270906360809
Q75VX8,NA,9.070511235553,NA,NA
Q9HCG8,NA,9.06805814323362,NA,8.75995061722875
Q9GZZ1,NA,7.55642803376807,NA,NA
O00571,NA,20.1368636902674,NA,20.1372446515449
O94813,NA,18.6596572408797,NA,NA
Q7Z5G4,NA,19.4465975307711,NA,NA
Q9H8M5,NA,8.2735743302824,NA,NA
Q07866,NA,6.8554871270503,NA,NA
Q8IXH7,NA,10.8928008445338,NA,NA
Q9Y285,NA,18.0722553873577,NA,NA
O14730,NA,3.07892225948037,NA,3.5598902846811
P13798,NA,9.12597049852443,NA,8.6890014894759
Q8IWA4,NA,11.5307611355916,NA,11.0015324578807
Q2TAL8,NA,4.05563250061427,NA,4.67665864730176
Q76G19,NA,10.9667061630869,11.9914757488409,12.1000457179417
Q8NI27,NA,18.7785199127652,NA,NA
Q6P1R4,NA,9.15776995881126,NA,8.77144396524688
P78559,NA,6.91697452790915,NA,6.90262863386337
Q7Z6M1,NA,8.96145662913976,NA,NA
O60828,NA,2.75195612707037,NA,NA
Q16827,NA,5.60845759981174,NA,5.5737963052823
O00273,NA,18.4404616764367,NA,NA
O75190,NA,19.9414683254149,20.2096320848847,20.4860431227976
P22694,NA,6.65157063212095,6.37119825876843,6.84358084644635
A7MD48,NA,9.28513464574094,9.46387605255365,9.76875895855252
O60216,NA,8.48417167010018,9.0580918012723,8.67382032739859
Q8NFG4,NA,10.9197729574384,10.0446604057515,NA
O15379,NA,6.7528510570709,NA,NA
Q9NWZ5,NA,19.2827921180343,18.9132206232818,18.8356931033705
Q9GZL7,NA,23.8851728110472,NA,23.840913437266
Q9UL46,NA,3.24721168557344,NA,4.08082602980632
Q13873,NA,14.6107535231622,NA,NA
