PG.ProteinGroups,Ratio_log2
Q9H2V7,19.834847036356
Q5TCY1,9.10059192109288
Q14728,9.40964761867431
P62979,6.58668911039033
P47756,9.32970931274866
P22694,6.84358084644635
Q9BYP7,14.4036600253686
Q9C0J8,4.13102467663546
P51149,8.49995661492631
O95487,9.364133358565
P49840,10.4350716301142
Q9BWM7,19.2257913896432
Q5TGY3,10.7486973686144
P28799,0.897608164080797
Q5TGI0,10.7818025238682
P60660,1.86131632764263
Q9NYQ7,7.89944037216383
O00192,9.0161538887696
Q9UMN6,19.9192111655103
Q6PIJ6,10.8179042174703
Q08174,5.82443034816073
Q9HA65,7.41762981998223
Q06587,20.652065992044
A7MD48,9.76875895855252
Q9H4L4,6.17380234611963
Q86VP1,11.5554939275804
P04035,7.45677677677187
Q96SU4,8.89933940572219
O94910,20.789476823824
P13798,8.6890014894759
Q86Y79,9.35465957826679
Q96RD6,11.6906539808247
P35222,13.6754733719954
Q9NYY8,9.15756766864427
Q9BRJ7,4.65717835762429
Q6ZTW0,1.66676245604169
Q15018,1.73991244897558
P19086,4.13137603481612
Q92734,3.62727781069854
P85037,9.73668058043707
Q92604,19.234770134457
Q8IWZ3,7.52982838322861
Q86U90,9.93679330730311
Q6L8Q7,14.4196453251015
Q9H9T3,19.845058867833
Q96B54,9.84083457986292
Q15061,17.9439923325513
Q13485,5.02030185654404
O14924,18.9301689037333
O95336,18.2468125521051
P56159,9.14390993318877
P61225,4.81525767731809
O43296,12.8559327308004
Q14318,9.29722885549618
Q15126,18.848266330933
O75792,2.05423953784123
Q86UU1,9.24270906360809
Q8WX77,1.61653326683958
P50542,8.56099057667356
Q29RF7,2.02655365518336
P04156,6.24708097956609
Q96DF8,12.2111067497913
Q05048,15.2431176894787
O75164,20.8871725424321
Q92747,11.127720282611
O95155,20.1252949331672
O95801,5.81285065781577
Q02543,3.56323313835919
P19838,11.6875414026087
Q9Y512,9.5775718243447
Q96S55,8.60653569141144
Q96SB4,8.49320118066786
Q8WYK1,11.5665759436056
