PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,LAMP Assoc
Q16644,MAPKAPK3,0.114248273,1.00E-07,0.085791871,1.00E-07,1.00E-07,0.146331674,0.000200872,1.00E-07,1.00E-07,0.042895986,1.00E-07,0.013376899,0.043321636,0.294750238,0.777481303,0.950746214,-8.278455089,"42,987",0.021935395,4,1
Q92828,CORO2A,1.00E-07,1.00E-07,1.00E-07,0.03151799,1.00E-07,0.020046067,1.00E-07,0.000920894,0.110352805,1.00E-07,0.000920894,0.002637782,0.006560681,0.29278614,0.778915974,0.952374649,-8.279112688,"59,763",0.021192173,7,1
O95229,ZWINT,0.562657553,0.150017342,0.151688869,0.75899928,1.00E-07,1.00E-07,1.00E-07,1.236962183,1.00E-07,0.357173211,1.00E-07,0.096600141,0.357540691,0.289842803,0.78106769,0.954489623,-8.280090131,"31,293",0.020228789,1,1
O75521,ECI2,0.004242611,0.00591944,0.01321814,0.003578045,1.00E-07,0.011649952,0.004619455,0.015327377,1.00E-07,0.005081025,0.004619455,-0.001159662,0.00731939,-0.289507707,0.781312794,0.954489623,-8.280200802,"43,585",0.020228789,12,1
Q9HBR0,SLC38A10,0.209062579,0.156367683,0.154053095,0.102472042,0.205688149,0.181008958,0.098536818,0.172017695,0.16287569,0.155210389,0.172017695,-0.008824055,0.159900877,-0.287929183,0.782467759,0.955453896,-8.280720457,"119,762",0.019790264,19,1
Q5UCC4,EMC10,0.036438547,0.024409686,0.294349966,0.05545942,0.119009075,0.256726927,0.105436085,0.018516299,0.123720581,0.045948983,0.119009075,-0.022257692,0.113793251,-0.284553932,0.78493935,0.957334024,-8.28182231,"27,347",0.018936506,5,1
Q86X10,RALGAPB,1.00E-07,1.00E-07,0.009941073,1.00E-07,1.00E-07,1.00E-07,0.011156922,0.002803471,1.00E-07,1.00E-07,1.00E-07,-0.001004805,0.002987746,-0.282451421,0.786480326,0.958708585,-8.282502272,"166,799",0.018313384,41,1
Q9NVV0,TMEM38B,0.103277035,0.043046798,0.043096542,0.119012872,0.184972766,0.001957404,0.154315139,0.020915005,0.099754393,0.073186789,0.099754393,-0.013431767,0.083824195,-0.275918167,0.791275325,0.963155826,-8.284583752,"32,510",0.016303444,8,1
Q9UHY8,FEZ2,1.122395879,0.997149142,1.310199944,1.524210431,1.320671123,1.245281004,1.418664898,1.109712291,1.295386993,1.216297911,1.295386993,-0.03509348,1.256035589,-0.274848447,0.79206138,0.963858847,-8.284920031,"39,666",0.015986562,7,1
O00567,NOP56,0.021763482,0.013079796,0.03941554,0.025699993,1.00E-07,0.013964335,0.042356191,0.032074662,0.0195922,0.023731737,0.0195922,0.002890881,0.023544262,0.273986583,0.79269489,0.96399539,-8.285190041,"66,050",0.015925043,40,1
Q9UNL2,SSR3,0.216337218,0.653167367,0.245889849,0.238798326,0.318451224,0.308389798,0.306874008,0.3159923,0.303116335,0.242344087,0.308389798,0.026121357,0.325487511,0.257144534,0.80510827,0.976650625,-8.29029991,"21,080",0.010260768,2,1
Q9NVS2,MRPS18A,0.029621032,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.020693392,0.005030131,1.00E-07,1.00E-07,0.00223191,0.006289378,0.255006531,0.806688564,0.978310922,-8.290925883,"22,184",0.009523098,8,1
Q16566,CAMK4,0.047671266,1.00E-07,0.012197234,0.003462535,1.00E-07,0.042679836,1.00E-07,0.035952318,0.064006606,0.007829885,0.035952318,-0.003825305,0.017745436,-0.250156893,0.810276793,0.982007688,-8.29232679,"51,926",0.007885112,5,1
Q9NQ87,HEYL,2.193105765,7.165784754,3.545346194,2.186710772,4.432735245,4.719450144,2.314513619,4.893647666,4.727330765,2.869225979,4.719450144,-0.317349797,3.93141177,-0.248875901,0.81122543,0.982667186,-8.292692424,"35,087",0.007593546,6,1
O75096,LRP4,0.475719878,0.406502265,0.80983936,0.286906455,0.613886211,0.494075271,0.541137936,0.440868552,0.707362318,0.441111072,0.541137936,-0.027750003,0.508616991,-0.243523829,0.815192628,0.986553801,-8.294200145,"212,045",0.005879226,14,1
Q9UK61,FAM208A,,,,,,,,,,,,0.003079705,0.21485423,0.238926213,0.818605324,0.990155355,-8.295469633,"189,032",0.00429666,,1
Q8NHP6,MOSPD2,0.013807402,0.009280344,0.006489885,0.050172859,0.02049768,0.012594635,0.007967903,0.05127593,0.063085281,0.011543873,0.02049768,-0.003146414,0.02151083,-0.230626329,0.824776951,0.996066835,-8.297701175,"59,746",0.00171152,18,1
Q8WVB6,CHTF18,0.06159795,0.057968468,0.11994565,0.0273149,0.046621622,0.075709152,0.088412823,0.074888643,0.069683263,0.059783209,0.074888643,-0.004701318,0.069057401,-0.228718607,0.826197427,0.997254588,-8.298203128,"107,383",0.001193957,28,1
P62318,SNRPD3,0.082248752,0.082235452,0.081390602,0.078707113,0.082677104,0.074289069,0.07942954,0.091515477,0.077880015,0.081813027,0.07942954,-0.000832318,0.081561639,-0.228581237,0.82629974,0.997254588,-8.298239114,"13,916",0.001193957,5,1
P28072,PSMB6,0.01114678,0.03765928,0.01223841,0.034889563,1.00E-07,0.051459582,1.00E-07,0.059962664,1.00E-07,0.023563986,1.00E-07,-0.003872103,0.02591956,-0.226525669,0.827831151,0.998842075,-8.298775058,"25,358",0.000503172,6,1
Q07352,ZFP36L1,3.692515028,4.167452143,3.721452539,1.82203777,3.306603219,3.044917251,3.181544262,3.410473404,1.959795868,3.706983783,3.181544262,0.114979836,3.293374452,0.225725811,0.828427272,0.999430918,-8.298982316,"36,314",0.00024722,6,1
Q9BSD7,NTPCR,0.109585592,0.12003643,0.109514127,0.096859195,0.110826954,0.111394812,0.099637813,0.109351076,0.083260516,0.109549859,0.109351076,0.001196172,0.10840075,0.224169761,0.829587323,1,-8.299383449,"20,713",0,12,1
O00743,PPP6C,0.146172583,0.148580549,0.191281245,0.123742134,0.147590268,0.151284284,0.179501859,0.145419697,0.221878528,0.147376566,0.151284284,-0.003504899,0.154196577,-0.223877246,0.829805448,1,-8.299458551,"35,144",0,10,1
P51688,SGSH,1.00E-07,1.00E-07,1.00E-07,0.267887441,1.00E-07,1.00E-07,0.196913195,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.017743561,0.058100155,0.220863696,0.832053565,1,-8.300226648,"56,695",0,1,1
Q9Y3B8,REXO2,0.097688424,0.046314606,0.091694721,0.035834665,0.02348038,0.089853373,0.125463458,0.005327132,0.089907426,0.069004664,0.089853373,0.006852019,0.064457095,0.220118622,0.832609658,1,-8.300414972,"26,833",0,11,1
P08397,HMBS,0.054583147,0.03780994,0.049045712,0.050398029,0.049459052,0.033114056,0.051672239,0.063779742,0.00982386,0.049721871,0.049459052,-0.001547065,0.04873274,-0.219871355,0.832794231,1,-8.300477333,"39,330",0,15,1
Q9Y4B5,MTCL1,0.26154634,0.173950276,0.223661665,0.211655696,0.302670899,0.184359017,0.253834663,0.16128374,0.198048906,0.217658681,0.198048906,-0.007833586,0.221620287,-0.218655581,0.833701916,1,-8.300782946,"209,526",0,41,1
Q9NPG1,FZD3,0.97119968,1.131148237,1.095181013,1.103756648,1.245797889,1.170140252,0.870404747,0.932777348,1.04880773,1.09946883,1.04880773,0.020541335,1.065050727,0.218204522,0.834038743,1,-8.300895905,"76,263",0,7,1
Q8TCS8,PNPT1,0.000460195,1.00E-07,0.011430077,0.00551593,0.004453865,1.00E-07,1.00E-07,0.016977303,0.014812538,0.002988063,0.004453865,-0.001006267,0.004854709,-0.214154637,0.837064676,1,-8.301899827,"85,951",0,44,1
P54802,NAGLU,0.091046533,0.094377224,0.115586666,0.114036066,0.102451452,0.088961034,0.112124783,0.11909541,0.11320305,0.104206645,0.112124783,-0.001896547,0.104709896,-0.213736548,0.837377231,1,-8.302002411,"82,266",0,25,1
P13521,SCG2,1.00E-07,1.00E-07,1.00E-07,0.711266885,1.00E-07,1.00E-07,1.00E-07,0.531435388,1.00E-07,1.00E-07,1.00E-07,0.044957874,0.155337859,0.209558095,0.840502701,1,-8.303016792,"70,941",0,15,1
Q5TCQ9,MAGI3,1.00E-07,1.00E-07,0.129490777,1.00E-07,1.00E-07,0.172314563,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-0.010705947,0.037725743,-0.205545318,0.843507205,1,-8.303972356,"162,949",0,17,1
