PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,LAMP Assoc
Q9NPE3,NOP10,0.302022348,0.279971738,0.332189196,0.303934506,0.145772703,1.00E-07,0.102477017,1.00E-07,0.005529218,0.302978427,0.005529218,0.242466967,0.183295963,6.527653925,0.000466924,0.003630937,-0.798311773,"7,706",2.439981327,6,1
Q9HD67,MYO10,3.112319089,3.046465042,2.893020837,2.949216236,3.354028227,3.284227898,3.421717089,3.365345703,3.372929666,2.997840639,3.365345703,-0.356074428,3.178292515,-6.515764093,0.000471783,0.003659484,-0.810018143,"237,347",2.436580131,25,1
Q9H078,CLPB,1.00E-07,1.00E-07,0.00456881,0.055695978,0.142737591,0.167446559,0.099078569,0.15001098,0.137604706,0.002284455,0.142737591,-0.124752178,0.077442336,-6.48402808,0.000485035,0.00372846,-0.841342509,"78,729",2.428470456,22,1
Q9BRK5,SDF4,0.773543788,0.609804686,0.523243307,0.673766484,1.303553268,1.257727491,1.284073737,0.990398263,1.119937084,0.641785585,1.257727491,-0.563848624,0.927013878,-6.450390552,0.000499544,0.003810877,-0.874668221,"41,807",2.418975042,12,1
Q13257,MAD2L1,0.008478647,1.00E-07,0.023299821,0.088694343,0.168631534,0.176465726,0.211666552,0.152868033,0.167232014,0.015889234,0.168631534,-0.147289734,0.103763095,-6.443793307,0.000502447,0.00382356,-0.881219399,"23,510",2.417532085,11,1
Q8IZ07,ANKRD13A,0.117846934,0.020663665,0.027758387,0.070940802,0.275233917,0.218980676,0.233237468,0.324809893,0.237195585,0.049349595,0.237195585,-0.203763041,0.161183968,-6.442703571,0.000502928,0.003824076,-0.882302003,"67,619",2.417473496,17,1
Q92544,TM9SF4,0.123067666,0.120293462,0.143820154,0.095403179,0.227286377,0.240203862,0.207422869,0.187022612,0.211229058,0.121680564,0.211229058,-0.094837815,0.168065022,-6.411731502,0.000516831,0.003913697,-0.913128076,"74,519",2.407412852,11,1
Q8IVH2,FOXP4,0.826161821,0.69543535,0.939022919,0.811828465,1.132307953,1.266155421,1.164238997,1.148457639,1.091264777,0.818995143,1.148457639,-0.359677864,0.997951071,-6.390047968,0.000526825,0.00395375,-0.934774793,"73,488",2.402990747,7,1
P00441,SOD1,0.096941266,0.09316161,0.099492678,0.090169312,0.127808398,0.112743579,0.124742822,0.13301953,0.121719815,0.095051438,0.124742822,-0.029637366,0.109759899,-6.379261509,0.000531877,0.003978752,-0.94556307,"15,936",2.400253124,7,1
Q14691,GINS1,0.026181936,1.00E-07,0.061703095,0.024516047,0.16142566,0.114372718,0.197102659,0.162639262,0.145149287,0.025348991,0.16142566,-0.13078478,0.093492685,-6.377323216,0.000532791,0.003982366,-0.947503111,"22,988",2.399858874,7,1
Q9BWM7,SFXN3,0.219878315,0.204991238,0.165997541,0.133120124,0.310502225,0.351485847,0.297928397,0.323393627,0.43622897,0.185494389,0.323393627,-0.13983072,0.250912164,-6.371562518,0.000535517,0.00399951,-0.953271559,"35,503",2.397993199,9,1
P05026,ATP1B1,0.027219715,0.054207183,0.031578347,0.040655423,0.104255769,0.07971734,0.112727893,0.12111102,0.11206396,0.036116885,0.11206396,-0.066037838,0.071434086,-6.350331818,0.000545703,0.004050847,-0.974563912,"35,061",2.392454199,17,1
P43358,MAGEA4,0.131952867,0.129342457,0.136556714,0.138299409,0.172182531,0.17189906,0.199565103,0.171194287,0.184579403,0.134254791,0.172182531,-0.044672383,0.156374054,-6.348039486,0.000546815,0.004051181,-0.97686602,"34,899",2.392418377,9,1
Q9NZM3,ITSN2,0.42803339,0.110698274,0.008712169,0.025488545,1.060952961,0.696351728,0.992077411,1.096048419,0.449067805,0.068093409,0.992077411,-0.818124535,0.552295362,-6.348035271,0.000546817,0.004051181,-0.976870253,"193,461",2.392418377,13,1
Q8TB72,PUM2,0.028350067,0.066545463,0.090886788,0.123672222,0.201105918,0.23375712,0.194257579,0.230028542,0.282324385,0.078716125,0.230028542,-0.137423655,0.146075462,-6.331146833,0.000555096,0.004089574,-0.993849501,"114,216",2.388321963,15,1
Q9Y6I9,TEX264,0.069054957,0.194431429,0.000864416,0.037437265,0.383632921,0.497479702,0.676921565,0.563400683,0.574776646,0.053246111,0.563400683,-0.454911701,0.302902867,-6.327788103,0.000556759,0.004098562,-0.997230238,"34,189",2.387368515,3,1
O75382,TRIM3,0.078160292,0.089269321,0.043690119,1.00E-07,0.183582446,0.171790031,0.172327915,0.179177743,0.152595914,0.060925206,0.172327915,-0.123939576,0.114749746,-6.316643953,0.000562318,0.004136193,-1.008456805,"80,830",2.383399163,24,1
P29218,IMPA1,0.046461424,0.048743036,0.035095661,0.063234357,0.086476128,0.109054581,0.117471926,0.123411308,0.122976848,0.04760223,0.117471926,-0.060719866,0.078743553,-6.302032039,0.000569703,0.004171159,-1.0231987,"30,189",2.379743286,15,1
Q86VQ1,GLCCI1,0.218359583,0.2381045,0.328201472,0.27877401,0.424525497,0.469924906,0.440404244,0.405713137,0.425087922,0.258439255,0.425087922,-0.169282054,0.350500919,-6.291129128,0.000575285,0.004200954,-1.034214835,"58,024",2.376652124,10,1
Q86VE9,SERINC5,1.222556873,1.149666704,1.168154774,1.087835604,0.701069877,0.161048144,0.418954856,0.169360443,0.79398191,1.158910739,0.418954856,0.794445159,0.759830909,6.289346661,0.000576204,0.004200954,-1.036017134,"47,009",2.376652124,4,1
Q9P0T7,TMEM9,0.249792097,0.287002783,0.08761263,0.203692982,0.466817912,0.4594418,0.48994718,0.476308715,0.393228527,0.22674254,0.466817912,-0.266103779,0.340077013,-6.285990272,0.000577938,0.004200954,-1.039411876,"20,574",2.376652124,4,1
P16435,POR,0.062074116,0.043412445,0.055588944,0.039744247,0.103332142,0.097926262,0.080476667,0.10441822,0.100779809,0.049500694,0.100779809,-0.046333385,0.07337163,-6.283741038,0.000579103,0.004206117,-1.041687549,"76,690",2.376118601,33,1
Q02156,PRKCE,1.00E-07,0.009831968,0.067109944,0.044495026,0.122420461,0.13488668,0.128264568,0.15889089,0.104670992,0.027163497,0.128264568,-0.10575639,0.083237455,-6.258793665,0.000592209,0.004274444,-1.066967949,"83,674",2.369120406,19,1
Q9Y5E4,PCDHB5,0.180481267,1.138144697,0.180545817,0.644736559,1.991365726,1.864676384,2.061161163,1.869723027,2.01876372,0.412641188,1.991365726,-1.41075449,1.24135433,-6.248102575,0.000597928,0.004298943,-1.077824141,"86,423",2.36663829,5,1
P18669,PGAM1,0.044685112,0.042883818,0.047350628,0.049501114,0.081566975,0.076268697,0.073846909,0.061610568,0.076166166,0.04601787,0.076166166,-0.027218119,0.059714228,-6.239900743,0.000602358,0.004327428,-1.086161758,"28,804",2.363770105,11,1
Q99961,SH3GL1,0.147763588,0.164386293,0.177551732,0.169956544,0.233447387,0.204515403,0.240529297,0.242263027,0.242765194,0.167171419,0.240529297,-0.065274239,0.197551659,-6.237365523,0.000603735,0.004333952,-1.088740555,"41,490",2.363115864,13,1
Q9P2D1,CHD7,0.426638057,0.400251741,0.435598451,0.445631405,0.545413194,0.495661137,0.502441384,0.526304069,0.572163608,0.431118254,0.526304069,-0.090425032,0.47224243,-6.235073357,0.000604983,0.004336177,-1.091072773,"335,927",2.362892955,58,1
Q9Y5U9,IER3IP1,0.019582473,0.06621333,0.04264253,0.052760917,0.106001543,0.109116199,0.107764624,0.129526253,0.113667792,0.047701724,0.109116199,-0.067802342,0.079200984,-6.210954118,0.000618293,0.004401649,-1.115651102,"8,969",2.356384641,1,1
P61289,PSME3,0.113129,0.118759894,0.119144582,0.108725668,0.135588588,0.142446652,0.140268945,0.154129947,0.151064981,0.115944447,0.142446652,-0.028168747,0.12902416,-6.19572964,0.000626865,0.004440377,-1.131200845,"29,506",2.352580193,19,1
P37802,TAGLN2,0.11253909,0.08196768,0.096805059,0.128154051,0.158975536,0.198349487,0.18955373,0.196662367,0.221558522,0.104672075,0.196662367,-0.08101881,0.145375875,-6.184697348,0.000633161,0.004479118,-1.142486043,"22,391",2.348807511,10,1
P51571,SSR4,0.173466322,0.152544428,0.152560613,0.147146449,0.201466749,0.239453947,0.250878196,0.253578546,0.242908976,0.152552521,0.242908976,-0.079914906,0.196386906,-6.183392557,0.00063391,0.004480991,-1.143821704,"18,999",2.348625966,6,1
P50454,SERPINH1,0.024207371,0.02060443,0.030214559,0.024088228,0.045237568,0.03947565,0.041996142,0.051321367,0.040963518,0.024147799,0.041996142,-0.019729035,0.034643164,-6.173221917,0.000639786,0.004519071,-1.154239912,"46,441",2.344950862,34,1
Q8N6L1,KRTCAP2,0.025805328,1.00E-07,1.00E-07,1.00E-07,0.113721904,0.069799788,0.065906724,0.078716693,0.078409094,1.00E-07,0.078409094,-0.07558487,0.044243842,-6.167844219,0.000642918,0.004534264,-1.159753495,"14,679",2.343493215,1,1
Q96EC8,YIPF6,1.00E-07,0.071197914,0.089352449,1.00E-07,0.181022698,0.284654352,0.254461788,0.310592398,0.210477243,0.035599007,0.254461788,-0.217545168,0.148910225,-6.158804995,0.000648221,0.004564703,-1.169028906,"26,256",2.340587516,3,1
Q9NR46,SH3GLB2,0.135529862,0.142949292,0.140543942,0.114958509,0.208681883,0.185788982,0.183230276,0.220984293,0.190866965,0.138036902,0.190866965,-0.066175957,0.16658338,-6.144318131,0.000656825,0.004607739,-1.183914675,"43,974",2.33651214,12,1
Q4J6C6,PREPL,0.386904112,0.401363837,0.341124278,0.341363313,0.528711112,0.732243765,0.725586971,0.661796767,0.663307338,0.364133713,0.663307338,-0.294395769,0.514886769,-6.127750689,0.000666822,0.004653162,-1.200969139,"83,927",2.332251812,17,1
Q9UI36,DACH1,0.557434805,0.572113724,0.550615763,0.548301074,0.676229613,0.623167588,0.675945005,0.626360203,0.604924575,0.554025284,0.626360203,-0.093309261,0.603770972,-6.117032669,0.000673382,0.004681272,-1.212019793,"78,676",2.329636131,15,1
Q96C90,PPP1R14B,0.080108143,0.071922777,0.071054834,0.05983723,0.133080033,0.103192214,0.144108339,0.135688763,0.13399394,0.071488806,0.13399394,-0.058286591,0.099874042,-6.110937583,0.000677145,0.004701388,-1.218310205,"15,911",2.327773872,4,1
C9JVW0,INAFM1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.972338948,2.19312288,2.033761011,2.457108544,0.969862714,1.00E-07,2.033761011,-1.914082746,0.957041473,-6.078102648,0.000697831,0.004822234,-1.2522745,"14,668",2.316751707,1,1
Q96CW1,AP2M1,0.104221873,0.085079346,0.103554019,0.088489313,0.166786931,0.130870514,0.164301415,0.174123555,0.158492937,0.096021666,0.164301415,-0.063684466,0.127178371,-6.074041546,0.000700439,0.004833031,-1.256484343,"49,655",2.31578038,29,1
P08758,ANXA5,0.137605304,0.144372151,0.140524725,0.139379191,0.158555575,0.164631684,0.16402093,0.178039242,0.172777858,0.139951958,0.164631684,-0.025841515,0.1533911,-6.038851255,0.000723506,0.004958884,-1.293047359,"35,937",2.304616074,26,1
Q8WVX9,FAR1,0.4432471,0.688154286,0.367140357,0.577930779,0.905508412,0.986413287,1.081363019,0.969487221,0.894471764,0.510588939,0.969487221,-0.466574854,0.752405558,-6.036773166,0.000724895,0.004964722,-1.295211223,"59,357",2.304105036,9,1
Q8IVF6,ANKRD18A,0.388425553,0.929120723,0.890357143,0.766702374,1.00E-07,1.00E-07,0.074139798,1.00E-07,0.168948705,0.828529759,1.00E-07,0.725116424,0.381093236,6.013714127,0.00074051,0.005056685,-1.319257421,"115,597",2.296134093,1,1
Q99613,EIF3C,0.051295521,0.231927786,0.080257388,0.099865641,0.461167417,0.40349115,0.326539455,0.39952921,0.242766956,0.090061514,0.39952921,-0.281845224,0.256759196,-6.005116131,0.000746429,0.005081243,-1.32824014,"105,344",2.294030078,2,1
Q9H2P9,DPH5,0.101652839,0.118139715,0.140817601,0.126571332,0.19273436,0.180648766,0.182996604,0.222110649,0.225551174,0.122355524,0.19273436,-0.072827223,0.158208983,-5.991138423,0.000756167,0.005137048,-1.34286263,"31,651",2.289286334,10,1
P10909,CLU,0.349364223,0.334453769,0.348143989,0.329257606,0.544029914,0.422885737,0.526853952,0.497098559,0.537652489,0.341298879,0.526853952,-0.157412144,0.419010969,-5.980824177,0.000763445,0.005159954,-1.353668049,"52,495",2.287354205,12,1
O75792,RNASEH2A,0.518626559,0.515504614,0.486694903,0.485662257,0.597930365,0.647088427,0.596942888,0.574368572,0.613049789,0.501099759,0.597930365,-0.10246048,0.552852323,-5.968674182,0.000772121,0.005210971,-1.366413426,"33,395",2.283081381,9,1
Q8N474,SFRP1,1.218032419,1.355191587,1.424078506,1.302976953,1.561470893,1.65135915,1.620106403,1.575373348,1.532002664,1.32908427,1.575373348,-0.277007582,1.463573657,-5.957204097,0.000780413,0.005253159,-1.378462273,"35,386",2.279579453,8,1
Q8N2W9,PIAS4,0.720637829,0.706794716,0.618385866,0.679340321,0.96951462,1.119968168,1.26873118,1.342689726,1.275911389,0.693067519,1.26873118,-0.493936241,0.928257803,-5.956886201,0.000780645,0.005253159,-1.378796441,"56,504",2.279579453,12,1
Q13561,DCTN2,0.048636751,0.043106284,0.057543388,0.067366828,0.108263072,0.152880242,0.112014605,0.113488171,0.098998797,0.05309007,0.112014605,-0.06749821,0.087912418,-5.942412661,0.000791256,0.005301418,-1.394024047,"44,231",2.275607968,18,1
P62699,YPEL5,0.536891507,0.551488636,0.463882556,0.561399756,1.544771566,1.152713802,1.194016984,0.981764679,1.099304745,0.544190072,1.152713802,-0.689901144,0.873366186,-5.940039693,0.000793012,0.005309331,-1.396523118,"13,842",2.274960173,3,1
Q9GZX9,TWSG1,0.737470577,0.752387548,0.736912188,0.582064912,1.383250884,1.109750852,1.089608713,1.41514487,1.180245359,0.737191383,1.180245359,-0.547230023,0.975823818,-5.918309193,0.000809293,0.005394898,-1.41944087,"25,017",2.268016773,1,1
Q9ULQ1,TPCN1,0.055455796,1.00E-07,1.00E-07,1.00E-07,0.12977462,0.085492627,0.123337368,0.10597096,0.073379642,1.00E-07,0.10597096,-0.09727987,0.062503959,-5.900341223,0.000823041,0.00547077,-1.438434825,"94,147",2.261951575,4,1
O60888,CUTA,0.113206281,0.126643638,0.113137669,0.103008124,0.159717285,0.169753848,0.203762346,0.202350819,0.197970997,0.113171975,0.197970997,-0.069897146,0.148947501,-5.893760808,0.000828142,0.005500722,-1.445401044,"19,116",2.259580324,1,1
Q96B02,UBE2W,0.48891506,0.554569174,0.461251479,0.549231593,0.824215631,0.794961271,0.656354189,0.762686787,0.814465163,0.519073327,0.794961271,-0.246062643,0.636523148,-5.892915645,0.0008288,0.005501139,-1.44629615,"17,331",2.259547407,1,1
P62888,RPL30,0.132077933,0.138304721,0.134158881,0.139940509,0.198548505,0.211269096,0.167791139,0.184254761,0.210178221,0.136231801,0.198548505,-0.054345364,0.163293193,-5.885661214,0.00083447,0.005524232,-1.453982926,"12,784",2.25772807,9,1
Q15006,EMC2,1.00E-07,0.004017999,1.00E-07,0.029290123,0.087024988,0.061994639,0.061965514,0.103160396,0.029534231,0.002009049,0.061994639,-0.070209304,0.043431732,-5.885335932,0.000834726,0.005524232,-1.454327748,"34,834",2.25772807,9,1
Q96EK6,GNPNAT1,0.094446034,0.073153431,0.092165989,0.084775504,0.11020681,0.12774259,0.129778233,0.127325094,0.137837825,0.088470747,0.12774259,-0.037627942,0.104949211,-5.862868256,0.000852573,0.005614594,-1.478177078,"20,749",2.250681627,10,1
P29373,CRABP2,0.021535163,0.016873165,0.024437506,0.014186003,0.038276434,0.031914174,0.037920612,0.033456954,0.038688384,0.019204164,0.037920612,-0.016134085,0.027325001,-5.817063283,0.000890312,0.005813438,-1.526995016,"15,693",2.235566953,8,1
Q07866,KLC1,0.121276759,0.098594174,0.088510156,0.111819249,0.183405915,0.172441663,0.151091192,0.202453418,0.192107898,0.105206712,0.183405915,-0.072297962,0.141199066,-5.780229412,0.000922034,0.005978348,-1.566443731,"65,310",2.223418782,30,1
Q9H6X2,ANTXR1,1.185214799,1.228038203,1.158526625,1.127511728,1.605917212,1.906781502,1.588813784,1.533723476,1.32501798,1.171870712,1.588813784,-0.483986155,1.416815916,-5.773181489,0.000928248,0.005991824,-1.574011583,"62,789",2.222440971,8,1
P06730,EIF4E,0.020415626,0.003533253,1.00E-07,0.023436157,0.052977999,0.05139554,0.041370003,0.060516146,0.036463584,0.011974439,0.05139554,-0.039718638,0.031705603,-5.7727293,0.000928648,0.005991824,-1.574497345,"25,097",2.222440971,9,1
Q07889,SOS1,0.130914306,0.088502013,0.038595047,0.064909173,0.210909037,0.216437387,0.175125959,0.203268549,0.19696532,0.076705593,0.203268549,-0.120705098,0.141082684,-5.771008441,0.000930174,0.00599748,-1.57634621,"152,464",2.222031218,24,1
P61353,RPL27,0.135836814,0.12967545,0.127080701,0.107236971,0.158171944,0.175528744,0.190470012,0.182542658,0.154598659,0.128378075,0.175528744,-0.051720856,0.150817912,-5.769342962,0.000931653,0.006002829,-1.578135934,"15,798",2.221644045,10,1
Q99757,TXN2,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.056479054,0.078357846,0.035223552,0.086105727,0.06579373,1.00E-07,0.06579373,-0.064041445,0.032020822,-5.766690031,0.000934014,0.006006827,-1.580987501,"18,383",2.221354911,5,1
Q86SQ9,DHDDS,0.090435951,0.204368068,0.04722115,0.215046131,0.379322218,0.628266915,0.493695412,0.529225022,0.418795402,0.147402009,0.493695412,-0.368359567,0.323447608,-5.760987937,0.000939112,0.006026387,-1.587119566,"38,657",2.219942987,3,1
P54725,RAD23A,0.150212163,0.091387221,0.145739993,0.14185253,0.243360266,0.216688552,0.202585587,0.236981311,0.232117288,0.143796261,0.232117288,-0.092605952,0.178600953,-5.757350902,0.00094238,0.006034101,-1.591033016,"39,609",2.219387411,4,1
P20908,COL5A1,1.129541666,1.090514578,1.058842054,1.103556099,1.444609643,1.238694926,1.356603003,1.42452318,1.239821202,1.097035339,1.356603003,-0.270494089,1.230860644,-5.743091454,0.000955317,0.006095833,-1.606392441,"183,560",2.214966932,9,1
P28070,PSMB4,0.014862082,0.015241361,1.00E-07,0.047385924,0.096348375,0.113336893,0.070262017,0.112369552,0.000789116,0.015051722,0.096348375,-0.078706843,0.058725788,-5.739033722,0.000959035,0.006101878,-1.610767928,"29,204",2.214536464,9,1
O95772,STARD3NL,0.170819257,0.335965236,0.176438042,0.293888161,0.530703681,0.467299213,0.462940515,0.522931225,0.376399531,0.235163102,0.467299213,-0.251690984,0.370123166,-5.737867965,0.000960107,0.006101878,-1.612025363,"26,655",2.214536464,3,1
O15258,RER1,0.043661003,0.090445746,0.047186302,0.047893457,0.112665273,0.140192794,0.125437163,0.143594143,0.114833229,0.047539879,0.125437163,-0.073175716,0.093884485,-5.737739997,0.000960224,0.006101878,-1.612163405,"22,958",2.214536464,8,1
Q9BR76,CORO1B,0.129720401,0.097748638,0.113854446,0.119865892,0.199907601,0.156876801,0.17537445,0.175107387,0.189762698,0.116860169,0.17537445,-0.061519215,0.146056952,-5.732271134,0.000965268,0.006129719,-1.618064756,"54,235",2.212559418,16,1
Q2TB18,ASTE1,0.791209284,0.999596951,1.040613253,0.53567212,0.126395386,0.259458718,0.188296104,0.163835039,0.181270185,0.895403118,0.181270185,0.65727659,0.513134607,5.711187601,0.000984997,0.006212866,-1.640851425,"77,093",2.206708034,4,1
P54920,NAPA,0.21246034,0.238203487,0.246023775,0.230032796,0.26753598,0.28111417,0.277233354,0.289643228,0.274893608,0.234118141,0.277233354,-0.047201583,0.255280891,-5.711098452,0.000985081,0.006212866,-1.640947896,"33,233",2.206708034,20,1
P16615,ATP2A2,0.018695768,0.005782759,0.012260975,0.009217901,0.039048742,0.052675284,0.036179355,0.061087113,0.032851735,0.010739438,0.039048742,-0.035758272,0.029368487,-5.698554697,0.000997036,0.006271152,-1.654532116,"114,757",2.202652673,36,1
Q8NDN9,RCBTB1,0.606759293,0.858292437,0.754899184,0.651513927,1.315061016,1.968944535,1.418522558,1.563538769,1.224788559,0.703206555,1.418522558,-0.848650509,1.142191465,-5.698248188,0.00099733,0.006271152,-1.654864303,"58,252",2.202652673,3,1
P07954,FH,0.044687845,0.033034831,0.040250485,0.045164313,0.059487055,0.059903495,0.065040334,0.073127313,0.046037287,0.042469165,0.059903495,-0.023605181,0.052586959,-5.697083201,0.000998449,0.006271152,-1.656126993,"54,637",2.202652673,23,1
Q13011,ECH1,0.032954673,0.029483565,0.024526057,0.038209992,0.01295146,1.00E-07,0.011247574,1.00E-07,0.0082756,0.031219119,0.0082756,0.025243763,0.01867169,5.695430225,0.001000039,0.006272973,-1.657918897,"35,816",2.202526567,19,1
P61970,NUTF2,0.100475218,0.088861077,0.092370195,0.085362434,0.121911065,0.115527945,0.109942947,0.125980877,0.115420895,0.090615636,0.115527945,-0.026573477,0.10505397,-5.691280097,0.001004044,0.006289561,-1.662419381,"14,478",2.201379687,6,1
P41743,PRKCI,0.110011175,0.089354975,0.101989264,0.084981166,0.144992639,0.12741246,0.130506825,0.136355768,0.182451055,0.095672119,0.136355768,-0.038232778,0.115700534,-5.687219697,0.00100798,0.006303087,-1.666824705,"68,262",2.200446679,16,1
O00303,EIF3F,0.124164368,0.154571858,0.126875749,0.145145466,0.23346553,0.21226073,0.249688229,0.188405675,0.253210066,0.136010608,0.23346553,-0.083265681,0.179322201,-5.678064708,0.001016918,0.006344619,-1.676765181,"37,564",2.197594438,17,1
Q5VW32,BROX,0.039171228,0.034928053,0.033438732,0.055163658,0.13945594,0.122866404,0.121762504,0.200435454,0.099863218,0.037049641,0.122866404,-0.105454658,0.093402747,-5.678031622,0.001016951,0.006344619,-1.676801126,"46,476",2.197594438,8,1
Q00534,CDK6,0.404713541,0.375650028,0.346833792,0.403049958,0.479142451,0.462165845,0.449417227,0.46856041,0.495271233,0.389349993,0.46856041,-0.082259653,0.423691656,-5.670856963,0.001024018,0.006368303,-1.684598941,"36,938",2.195976293,15,1
O15145,ARPC3,0.053255187,0.05912169,0.068900394,0.030482538,0.093592885,0.119678648,0.133018776,0.119369205,0.121469189,0.056188439,0.119678648,-0.063474926,0.084677415,-5.655586996,0.001039246,0.00643164,-1.701217295,"20,547",2.191678302,12,1
Q63ZY3,KANK2,0.525436411,0.510020482,0.509419479,0.499250526,0.833900976,1.316493802,1.011190892,1.062024085,0.94117384,0.509719981,1.011190892,-0.544870714,0.783467082,-5.647296813,0.00104762,0.006456989,-1.71025215,"91,174",2.189969951,16,1
Q13111,CHAF1A,0.16891382,0.2006185,0.197920605,0.188577322,0.37187677,0.305983558,0.286824333,0.278608162,0.278474513,0.193248964,0.286824333,-0.121815644,0.249915384,-5.642277387,0.001052728,0.006471756,-1.715726773,"106,910",2.188977842,14,1
O15372,EIF3H,0.086097352,0.093464573,0.058475487,0.080433643,0.155902275,0.153600586,0.2033029,0.142566284,0.210463491,0.083265498,0.155902275,-0.084225247,0.121730388,-5.64081315,0.001054223,0.006474292,-1.717324411,"39,930",2.188807716,15,1
Q9UG01,IFT172,0.030784789,1.00E-07,0.068512842,0.005243993,0.14872873,0.13921268,0.104710541,0.173608967,0.170666264,0.018014391,0.14872873,-0.115429799,0.08385033,-5.638449781,0.001056641,0.006474292,-1.719903685,"197,576",2.188807716,42,1
P19474,TRIM21,1.00E-07,1.00E-07,0.034995385,1.00E-07,0.14219056,0.119149683,0.069794491,0.154772976,0.219677768,1.00E-07,0.14219056,-0.112728006,0.065112924,-5.63687834,0.001058253,0.006479872,-1.721619085,"54,170",2.188433579,11,1
Q9BXR0,QTRT1,1.00E-07,1.00E-07,0.015476581,1.00E-07,0.063085158,0.0553216,0.028523142,0.058888095,0.07251135,1.00E-07,0.058888095,-0.047585278,0.027661859,-5.635755459,0.001059406,0.00648264,-1.72284503,"44,048",2.188248091,16,1
Q15788,NCOA1,0.446349237,0.495422952,0.494865272,0.579428538,0.733339098,0.879866394,0.705883764,0.88355231,0.784465329,0.495144112,0.784465329,-0.296643892,0.652338446,-5.61654275,0.001079359,0.006587298,-1.743846514,"156,757",2.181292714,19,1
P62269,RPS18,0.040747175,0.063104579,0.101435192,0.03383498,0.129792911,0.164789093,0.175865784,0.178771144,0.112470028,0.051925877,0.164789093,-0.102524251,0.111042607,-5.600666665,0.001096168,0.006656267,-1.761236931,"17,719",2.176769288,13,1
O94766,B3GAT3,0.073907039,0.04331921,0.082985898,0.092920969,0.13344982,0.128576416,0.133646523,0.131004759,0.133988589,0.078446469,0.13344982,-0.0583861,0.102476329,-5.592908159,0.001104489,0.006683317,-1.769747421,"37,122",2.175007942,9,1
Q7Z5K2,WAPL,0.096865718,0.096386878,0.107867429,0.092968743,0.157709453,0.258017704,0.240820375,0.216386582,0.151218777,0.096626298,0.216386582,-0.119711337,0.15837786,-5.590709636,0.00110686,0.006693284,-1.77216046,"132,946",2.174360766,41,1
Q9HBH5,RDH14,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.06744198,0.030671477,0.034779419,0.05615389,0.020964101,1.00E-07,0.034779419,-0.047261591,0.023630896,-5.578010704,0.001120669,0.006754695,-1.786110815,"36,865",2.170394254,9,1
P19793,RXRA,0.366144676,0.161613512,0.394586429,0.482475782,1.007190861,0.734357068,0.827320567,0.782011637,0.882904411,0.380365552,0.827320567,-0.486514934,0.594462566,-5.57291105,0.001126268,0.006779608,-1.791718949,"50,811",2.168795416,3,1
P11940,PABPC1,0.157296291,0.10205571,0.11746909,0.116755393,0.177317617,0.207973007,0.199172607,0.207075008,0.224381662,0.117112241,0.207075008,-0.074490439,0.16063934,-5.567463344,0.001132285,0.006802541,-1.797713596,"70,671",2.167328848,4,1
Q7Z7K0,CMC1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.404098519,1.117106705,1.060513745,0.903447232,0.401622286,1.00E-07,0.903447232,-0.87129145,0.435645825,-5.5593095,0.001141359,0.006843713,-1.806693336,"12,490",2.164708198,1,1
P52701,MSH6,0.071714608,0.07310546,0.06980054,0.067542355,0.097314201,0.086775968,0.088746494,0.105315926,0.094748894,0.070757574,0.094748894,-0.023997407,0.082539444,-5.551935534,0.001149636,0.006884411,-1.814821708,"152,786",2.162133192,67,1
Q8TCU6,PREX1,0.261095338,0.197986446,0.25164695,0.356826404,0.519859413,0.438717919,0.446688028,0.472174958,0.424394013,0.256371144,0.446688028,-0.202471295,0.368124432,-5.546501658,0.001155778,0.006894402,-1.820816071,"186,203",2.161503386,47,1
Q9NQW6,ANLN,0.656752661,0.859798557,0.946940203,1.038611028,1.238731652,1.474271759,1.491943948,1.442617418,1.312282483,0.90336938,1.442617418,-0.536365582,1.143708403,-5.525633161,0.001179714,0.007008882,-1.843873154,"124,199",2.154351275,20,1
O75116,ROCK2,0.017449749,0.011883782,0.011056033,0.013631496,0.041880057,0.069406035,0.03930431,0.054217367,0.061871154,0.012757639,0.054217367,-0.037696677,0.032353604,-5.525149347,0.001180276,0.007008882,-1.844408387,"160,900",2.154351275,51,1
Q9UI10,EIF2B4,0.153431499,0.157266031,0.110267391,0.19243872,0.242880759,0.243150957,0.239428321,0.258050621,0.251919187,0.155348765,0.243150957,-0.092526754,0.199614288,-5.519150565,0.001187263,0.007036817,-1.851047279,"57,557",2.152623721,22,1
P51825,AFF1,0.093746459,0.129502013,0.134717693,0.122212232,0.367655277,0.493432123,0.303908817,0.299056653,0.305675797,0.125857123,0.305675797,-0.245968618,0.243028908,-5.511584558,0.001196143,0.007075839,-1.859427395,"131,422",2.150222045,3,1
