PG.ProteinGroups,PG.Genes,Log2
Q96GQ7,DDX27,-5.7313323850161700
Q9HBF4,ZFYVE1,-4.4797304282147600
Q9P0J1,PDP1,-5.3850908551778600
Q13242,SRSF9,-7.42763423289381000
P61421,ATP6V0D1,-7.29664741114249000
P58004,SESN2,-6.1371790744257900
Q8WVM7,STAG1,-4.9242781560218100
Q8WVZ9,KBTBD7,-3.5436028325681600
Q9UHK6,AMACR,-4.6548471503731100
O15079,SNPH,-5.7777062524714600
Q9Y2I8,WDR37,-5.9590803819160400
Q9BWD1,ACAT2,-6.97363024947638000
Q15560,TCEA2,-1.606200669577130
Q9HCM7,FBRSL1,-2.986757597168080
Q15650,TRIP4,-3.4065803008335000
P23246,SFPQ,-9.00841300111733000
O95758,PTBP3,-3.6973278511427200
Q14697,GANAB,-6.82579722166383000
Q9UNF0,PACSIN2,-5.8194777440472300
Q15599,SLC9A3R2,-3.012512748414590
Q9HCG7,GBA2,-5.4864825138111500
O75044,SRGAP2,-4.381924252574290
Q02127,DHODH,-5.7431959782259500
P55786,NPEPPS,-6.0635192247321600
Q9HCD5,NCOA5,-5.4048267419266200
Q92520,FAM3C,-3.7212655884268400
O94966,USP19,-6.4479379128770900
Q9UN74,PCDHA4,-2.102947564282820
Q9P2N5,RBM27,-3.6161972535422000
Q9Y376,CAB39,-4.0491729951077100
Q9UJF2,RASAL2,-3.6464906114496200
Q8IZ21,PHACTR4,-4.639811476515290
Q9UID3,VPS51,-4.6425951255405800
