PG.ProteinGroups,PG.Genes_x,Log2_x,PG.Genes_y,Log2_y
P43004,SLC1A2,-5.49459784888336,NA,NA
Q12765,SCRN1,-5.966124562707231,SCRN1,-4.77510586968542
O75390,CS,-7.8488883424606,CS,-7.695433935923351
Q86V97,KBTBD6,-4.6089574296228495,NA,NA
O75093,SLIT1,-4.0905566632842305,SLIT1,-2.60675967525343
P62701,RPS4X,-8.61392395090933,NA,NA
P35222,CTNNB1,-3.9293589039735903,CTNNB1,-3.55269813452813
P48730,CSNK1D,-3.03361659101551,NA,NA
Q99733,NAP1L4,-8.45766889390881,NA,NA
Q96A35,MRPL24,-5.81352360320248,MRPL24,-5.08524563052868
Q9Y5R8,TRAPPC1,1.70089871987579,TRAPPC1,1.6957877578644
Q9H4A3,WNK1,-4.66358047681996,NA,NA
Q8WXI2,CNKSR2,-12.1569162687373,NA,NA
Q9Y2B0,CNPY2,-7.195567781080809,CNPY2,-4.87424772399408
Q13492,PICALM,-4.71992992141183,NA,NA
Q9NXG6,P4HTM,-3.56968335343637,NA,NA
Q52WX2,SBK1,-4.21469331526413,SBK1,-3.722955741121
Q9P2K5,MYEF2,-7.23093780665092,NA,NA
P60510,PPP4C,-4.84827476713208,PPP4C,-3.89284035551142
Q9UNF1,MAGED2,-6.48962810223377,MAGED2,-4.439414329629
Q6ZVC0,NYAP1,-2.72108844708813,NA,NA
Q9BU76,MMTAG2,4.3970662118319,NA,NA
Q8NBI6,XXYLT1,-4.71357950455608,XXYLT1,-3.6477367580695
Q96F07,CYFIP2,-7.177572084408889,NA,NA
P84095,RHOG,-2.59546345195455,NA,NA
O43920,NDUFS5,-5.64211546394079,NDUFS5,-5.00966343435728
P61086,UBE2K,-4.58008904719556,UBE2K,-4.24245815380206
P22695,UQCRC2,-6.6154547116125,NA,NA
P42892,ECE1,-4.60424019462433,ECE1,-2.74994298311079
Q8N0Z6,TTC5,-5.35031796398225,NA,NA
Q96NX9,DACH2,-1.65183808541367,NA,NA
Q00610,CLTC,-11.6403984453588,CLTC,-10.0648011701887
Q15819,UBE2V2,-5.524049231129689,UBE2V2,-5.03045555812364
Q9UBB9,TFIP11,-4.52034208362,NA,NA
P29401,TKT,-9.86294254595712,NA,NA
Q5TGI0,FAXC,-4.45153551928812,FAXC,-3.8507375114815106
O43310,CTIF,-3.37368063134345,CTIF,-2.8837541403885
Q6ZNB6,NFXL1,-11.0618747083963,NA,NA
Q719H9,KCTD1,-2.64792812048605,KCTD1,-2.33241702558524
Q9H9T3,ELP3,-5.98461097092784,ELP3,-4.86167509228948
Q12852,MAP3K12,-4.96357656888393,MAP3K12,-3.71585676036959
O75347,TBCA,-7.486250459969059,NA,NA
Q86X27,RALGPS2,-2.71476207539102,NA,NA
Q8N1B4,VPS52,-4.81982855613371,NA,NA
Q12824,SMARCB1,-3.77394218925916,SMARCB1,-2.84721238790679
Q04656,ATP7A,-11.4116480720496,NA,NA
Q8WXF1,PSPC1,-6.2526826679474095,PSPC1,-5.6681530140568
P07738,BPGM,-7.025990674051631,NA,NA
O95782,AP2A1,-9.999748485680739,AP2A1,-8.16833770192377
P30153,PPP2R1A,-10.1291615453506,NA,NA
P10586,PTPRF,-4.29007588749401,PTPRF,-3.6973471051968305
Q99856,ARID3A,-4.33478066866745,ARID3A,-2.72734683991552
Q9BQ39,DDX50,-5.41796226276721,NA,NA
O00116,AGPS,-12.2345622729257,NA,NA
Q15717,ELAVL1,-5.267160975951151,ELAVL1,-4.385650905669911
Q6P1X6,C8orf82,-5.843493697343191,C8orf82,-5.10841345927608
Q9BXB4,OSBPL11,-4.09326621328532,OSBPL11,-4.13625879394767
Q96CT7,CCDC124,-10.0449668631805,NA,NA
Q9C0C2,TNKS1BP1,-5.55840138795203,TNKS1BP1,-4.3840287231924
Q5JSZ5,PRRC2B,-3.91986407959748,PRRC2B,-3.03455440516779
Q15048,LRRC14,-4.9780816208844705,LRRC14,-4.15167502527825
Q96GD3,SCMH1,-1.13329675527318,SCMH1,-0.818558166316129
P59998,ARPC4,-6.14975605735842,NA,NA
Q6NUM9,RETSAT,-5.41168081923534,RETSAT,-3.7140411734046306
P36578,RPL4,-6.78691767083283,NA,NA
Q8IXQ5,KLHL7,-2.74139742897418,NA,NA
O00170,AIP,-4.810188664779529,NA,NA
Q9H4L4,SENP3,-4.13217811914509,SENP3,-3.52245082842451
Q9BWE0,REPIN1,-1.79840595100215,NA,NA
P14416,DRD2,-4.61450564978733,NA,NA
P30876,POLR2B,-5.2654024648018,POLR2B,-4.01972164962304
O00743,PPP6C,-5.974236243587289,PPP6C,-3.62243595862904
