PG.ProteinGroups,PG.Genes,Log2
Q9P2S2,NRXN2,-3.112563627457470
Q6P2Q9,PRPF8,-10.98332743737710000
P00441,SOD1,-6.5074796804649300
Q9H6T3,RPAP3,-3.084496821515000
O75153,CLUH,-5.4630530439301600
P56211,ARPP19,-3.9488997576464400
Q86SK9,SCD5,-2.953801338401350
Q17R31,TATDN3,-4.8385576906375100
Q9NPZ5,B3GAT2,-4.0042517443529600
Q9P0J1,PDP1,-3.9972126451385500
Q9BTC8,MTA3,-3.403306593642500
Q96SB4,SRPK1,-2.025375358164670
O43301,HSPA12A,-9.55995447590599000
P52272,HNRNPM,-7.94041647532415000
P51148,RAB5C,-3.9145229858165200
P19784,CSNK2A2,-5.491998920151270
Q9UHQ9,CYB5R1,-9.18836156990848000
P60660,MYL6,-4.212410311235920
Q9UPN6,SCAF8,-2.880285501466140
Q8WU79,SMAP2,-3.7119799138363400
O75054,IGSF3,-7.31325496576243000
Q01804,OTUD4,-0.907184757912453
Q9Y6G5,COMMD10,-5.053784235536560
P49116,NR2C2,-2.751583326196920
O76070,SNCG,-9.78043963933312000
Q9NR80,ARHGEF4,-4.011821433644760
Q9NYJ8,TAB2,-3.8427073573298200
P31930,UQCRC1,-5.6916213818263900
Q96NI6,LRFN5,-3.8305595454822800
Q15554,TERF2,-11.91784685410960000
Q6RFH5,WDR74,-3.9506868114782900
Q9C0C4,SEMA4C,-6.4409521048057800
Q9UPT6,MAPK8IP3,-7.91522105694499000
Q86UA1,PRPF39,-4.6498852209259400
Q14C86,GAPVD1,-9.19391289023214000
O95486,SEC24A,-4.5326698551660800
Q02878,RPL6,-5.9520895989073200
Q9NVS2,MRPS18A,-6.3662750871212900
Q9NWQ8,PAG1,-3.12013715178198
Q15070,OXA1L,0.04214156475231
Q9H1Z4,WDR13,-4.0787639631390200
P46379,BAG6,-3.8249555684487500
Q6IA86,ELP2,-4.2678572972639300
O15164,TRIM24,-2.241117539674490
Q8NCM8,DYNC2H1,-9.00628419048566000
P49641,MAN2A2,-3.193406221731900
Q5RI15,COX20,-5.3206774768115100
P11171,EPB41,-12.61927938085250000
P31629,HIVEP2,-2.732368058688180
Q9NZC7,WWOX,-0.758917032755959
Q8NBJ4,GOLM1,-3.4597230770959900
Q9Y5F9,PCDHGB6,-4.6758306942146800
P00387,CYB5R3,-5.5256289017629400
Q9Y250,LZTS1,-3.7660371339554100
O14531,DPYSL4,-7.82864300182893000
Q5JTZ9,AARS2,-4.6152655307822600
O95573,ACSL3,-7.57146676495957000
Q9BY67,CADM1,-3.239053692538540
Q9ULP9,TBC1D24,-5.3929864340813600
Q9C0E8,LNPK,-5.9402084271663500
Q2M389,WASHC4,-7.07126148982849000
P61201,COPS2,-11.71971262019490000
P51452,DUSP3,-4.394388163165510
O94829,IPO13,-3.4990856619647100
P25098,GRK2,-5.2387855505219400
Q9UGJ1,TUBGCP4,-3.6499694785662800
Q8N8U2,CDYL2,-4.1949156720706500
P78310,CXADR,-8.12105648055431000
P78417,GSTO1,-6.9722614045956300
O60264,SMARCA5,-8.5171692759170300
Q9P0J0,NDUFA13,-5.3825677400785100
Q8WWM7,ATXN2L,-10.25427518330650000
O43405,COCH,-2.154687634613830
Q6ZSZ5,ARHGEF18,-4.7768160732384600
Q96FJ0,STAMBPL1,-3.5593966232189300
O75037,KIF21B,-6.0582893590388600
Q9UJX6,ANAPC2,-5.0295850016340100
Q6L8Q7,PDE12,-5.8712212900756800
O60701,UGDH,-4.8370609674097900
Q15631,TSN,-4.7306055299480400
Q9BXS5,AP1M1,-6.164320937701870
Q96GM5,SMARCD1,-4.7199469707290600
Q8TF61,FBXO41,-4.5512867956858900
Q6ZRP7,QSOX2,-2.844567365917260
P62993,GRB2,-5.5695542130998300
Q9UM73,ALK,-4.1112485425893100
O15027,SEC16A,-4.4846513583950200
O95861,BPNT1,-5.3667315279214200
Q92925,SMARCD2,-1.986739735606110
Q93073,SECISBP2L,-3.902861170198760
Q16512,PKN1,-2.88763349430640
Q92890,UFD1,-5.3808304091528300
Q16401,PSMD5,-6.3738598180963200
P10586,PTPRF,-3.6973471051968300
P29083,GTF2E1,-5.0689735970513100
O60291,MGRN1,-4.8880704732436200
Q6ZMI0,PPP1R21,-6.0875349032207100
Q96MZ0,GDAP1L1,-4.9453481332752400
Q9C0D7,ZC3H12C,-3.4996722577240800
O60477,BRINP1,-3.3822620549933300
O43683,BUB1,-4.9242232918273700
Q86UW6,N4BP2,-3.817492311042340
Q9BV35,SLC25A23,-1.00669428596907
P0DPB6,POLR1D,-4.2570669296567600
Q99504,EYA3,-0.072384157512853
Q12797,ASPH,-3.294872911902860
Q7LBC6,KDM3B,-4.6829226880640400
Q9NP90,RAB9B,-1.653385039090330
Q9UQF2,MAPK8IP1,-2.996162692550310
P43681,CHRNA4,-5.0845132750748400
Q8IUL8,CILP2,-3.9829753297203600
Q9UNF0,PACSIN2,-5.5729253060302000
O60245,PCDH7,-3.4517354600623000
A3KN83,SBNO1,-4.939163923668460
Q9Y5B9,SUPT16H,-6.67601308411579000
O43427,FIBP,-5.4628562823934500
Q96MX3,ZNF48,-3.4859918972043100
Q96TA2,YME1L1,-7.86628909200359000
O94880,PHF14,-6.0149683215827500
O94876,TMCC1,-2.495430073918060
Q04917,YWHAH,-8.38902430656483000
O43164,PJA2,-3.232785165845310
P42224,STAT1,-4.3229899563850500
Q7L014,DDX46,-6.4511622415634700
Q9Y5R8,TRAPPC1,1.6957877578644
Q2Y0W8,SLC4A8,-5.7893582829278700
Q96DZ1,ERLEC1,-5.1225539123158000
Q9H6K5,PRR36,-5.3536647788305200
Q13126,MTAP,-5.7307029562520400
Q6P6B7,ANKRD16,-5.4487493301018200
Q9BT40,INPP5K,-5.2235344662792500
Q6R2W3,ZBED9,-3.144495231523540
Q13191,CBLB,-4.2939230580523900
Q5SYC1,CLVS2,-4.7655399842001200
Q9Y3Z3,SAMHD1,-12.68480773860330000
Q6P1M0,SLC27A4,-5.3672480892422400
Q9Y3A6,TMED5,-4.2348067862677900
O95502,NPTXR,-5.1734084081596400
Q96JN8,NEURL4,-3.5755139681032500
P11274,BCR,-5.1947120950437900
Q92560,BAP1,-3.263871437868150
Q9ULK0,GRID1,-1.750708639713940
O60488,ACSL4,-12.59321089675050000
Q96JK2,DCAF5,-4.1632969151941200
Q96AX9,MIB2,-2.804241658571370
Q86VP1,TAX1BP1,-3.215808912186760
Q9NUS5,AP5S1,-4.3138261208393200
Q64LD2,WDR25,-5.0424785663947100
Q5TCY1,TTBK1,-3.7706224673418800
Q9BQ95,ECSIT,-5.0394842704416800
Q13523,PRPF4B,-4.7469358069873100
Q9NZ56,FMN2,-4.5858479031212000
Q09161,NCBP1,-11.48502041809050000
Q96E22,NUS1,-2.668642499696300
Q9Y6X4,FAM169A,-6.99755284746497000
Q96RN5,MED15,-3.6667817369218900
Q9Y5H9,PCDHA2,-3.871566811943350
Q9Y3A2,UTP11,-7.35776819216477000
Q9UQ16,DNM3,-7.43577640053000000
Q9H2E6,SEMA6A,-3.252620546686200
Q96AJ9,VTI1A,-4.9417906694194300
Q9UH73,EBF1,-1.89092463567374
Q9BT73,PSMG3,-6.332363221684070
Q9BY43,CHMP4A,-6.2125020752977700
P05026,ATP1B1,-9.8455883419197300
P51674,GPM6A,-8.07662249298920000
Q96P47,AGAP3,-5.4138780358832700
Q8N608,DPP10,-5.5933427743140600
P27544,CERS1,0.95220587428590
Q8TAQ2,SMARCC2,-4.8642289104891900
P40692,MLH1,-4.9141828117949200
Q14166,TTLL12,-8.34762401301996000
O60506,SYNCRIP,-6.94580445715244000
O43172,PRPF4,-6.9497326233445800
Q7Z5N4,SDK1,-4.5498512883080000
Q9UJA5,TRMT6,-5.2038597823985800
O75874,IDH1,-11.18834858843770000
Q96KQ7,EHMT2,-5.1260167576803200
O94898,LRIG2,-3.8054738362134700
Q9ULB1,NRXN1,-4.1376848369073300
Q15648,MED1,-6.4865734582799400
Q6PJG6,BRAT1,-3.9953762092749800
Q9ULN7,PNMA8B,-3.278447589572910
Q9H3F6,KCTD10,-2.366738221656130
Q8WU90,ZC3H15,-4.4492939927692000
Q9C0B1,FTO,-8.55435206212895000
Q9BWH6,RPAP1,-4.2212000072151500
Q9P2Q2,FRMD4A,-4.3291407635310900
O76062,TM7SF2,-1.211768893128910
Q6PD74,AAGAB,-7.09903117614163000
P59923,ZNF445,-9.89885929068484000
Q8N5D0,WDTC1,-2.322754477961690
Q8N0U8,VKORC1L1,-9.96919333138569000
Q8NBI6,XXYLT1,-3.6477367580695000
Q96PK6,RBM14,-6.0732548972773100
Q96KG9,SCYL1,-5.6170875794826300
Q9UBF2,COPG2,-6.1997983872966000
P49918,CDKN1C,-3.178983632278890
Q9NS86,LANCL2,-7.20270931655984000
Q14980,NUMA1,-5.0565260546359600
P19404,NDUFV2,-6.77044673049622000
Q96A33,CCDC47,-3.266187293257960
P63104,YWHAZ,-11.76332618410850000
Q9NPF5,DMAP1,-3.4217592649369500
Q03001,DST,-11.01485082014090000
Q13485,SMAD4,-4.0577534340276100
Q76NI1,KNDC1,-3.7727914246437600
P60891,PRPS1,-7.11104840756340000
Q9UNF1,MAGED2,-4.4394143296290000
Q96EV2,RBM33,-5.3791782292254500
P53999,SUB1,-8.61270430368637000
Q86U70,LDB1,-4.1194709598632900
Q9BV68,RNF126,-3.048095451946380
P09661,SNRPA1,-5.0659549636078700
P09525,ANXA4,-11.77387719228850000
Q92618,ZNF516,-3.8850094036810300
Q15637,SF1,-6.1956505798736400
Q9Y2K7,KDM2A,-3.5419163523466200
Q14249,ENDOG,-3.417455363728100
P22626,HNRNPA2B1,-6.5900631862223100
Q8IZ07,ANKRD13A,-4.8662197001392900
Q13283,G3BP1,-6.81220776844794000
P09651,HNRNPA1,-6.6392376644799700
Q15276,RABEP1,-8.57556127413915000
O00534,VWA5A,-12.11084636442230000
Q9H425,C1orf198,-4.6615471147793100
Q9Y2Q0,ATP8A1,-5.9602396749479200
Q9P286,PAK5,-4.6300449131561600
P36894,BMPR1A,-4.4482406990107300
Q8N4S0,CCDC82,-3.3706500261518800
Q05BQ5,MBTD1,-5.8071671689636700
