PG.ProteinGroups,P150
Q08554,-23.2534966642115
O15344,-5.92810562015866
Q9NR46,-5.83518980958189
Q8WUU5,-4.51273271944574
Q92841,-5.68093931499187
Q9UKE5,-2.73842288766258
Q96N64,-5.07214857406704
Q5VWQ0,-3.26931774328168
Q9UKB1,-2.83015221253511
Q86Y79,-3.43007070815612
Q96BY9,-1.10078172245631
P55011,-3.23083612307925
Q08174,-3.68736267203822
O94805,-4.75270568238394
Q8N6N2,-3.50678469242384
O95782,-8.16833770192377
Q9BTY2,-23.2534966642115
Q9BYV9,-3.08146457218613
Q9C0D0,-5.75549481540731
P61006,-4.13972003121864
Q9P291,-2.28149833624517
Q9UHG3,-6.18771493994068
Q5VUA4,-3.14045167026897
O00451,-3.30913493795352
Q6IEE7,-3.23240547513386
Q9C0I3,0.282224663372221
P48449,-5.45560961892587
Q684P5,-4.41187658383134
Q14671,-3.93008953469897
P51149,-7.15336529693516
P0CK96,-0.648670543643107
O00743,-3.62243595862904
P30040,-4.94014895257962
Q92520,-2.95622341643699
Q8NB37,-3.02409561342987
Q96DE0,-4.19029009716192
Q10469,-1.92641457129103
Q9H857,-4.19817347116666
Q14651,-3.42929053044339
Q1L5Z9,-3.71347418534507
P24666,-4.72775598343954
Q9BSV6,-2.14389539301838
Q9NSI2,-3.23020879291952
Q9NWU5,-6.85977857813924
Q9UKR5,-4.78535904521434
Q9UGL1,-2.75724579840749
Q92529,-3.25498035427752
Q9H8M7,-4.06840812400237
P18433,-3.11134215620132
P53677,-4.33912658268546
Q13310,-8.5660311436001
Q96RE7,-3.94947944635526
Q9BZM4,-3.78599257673677
Q9Y5B8,-4.71904583695377
Q9Y4F5,-2.63734018654809
Q96C03,-2.7498602666999
Q5T5Y3,-3.94087399836193
Q6T4R5,-23.2534966642115
P46926,-5.92198078194646
Q969T9,-7.5769207300709
Q9H4L4,-3.52245082842451
Q9Y4X5,-3.55167245588744
Q9NYB0,-5.1525882711069
Q14108,-5.10486520032634
P46821,-8.87819291516144
P37235,-4.3746152860568
Q7Z3T8,-23.2534966642115
Q92805,-2.23335040094864
Q15858,-3.95618015136712
Q7Z4K8,-4.62594596718481
Q9Y580,-3.91228138727626
Q9H3R0,-2.59039229575182
Q96T58,-3.44987202882173
Q8NF37,-4.90327583447767
Q96FE5,-4.51257838782717
Q92759,-6.1719296514992
Q9UBI9,-4.54428356641841
P36873,-4.17169638718186
Q9UHV9,-5.47803817807603
Q9ULJ6,-2.5860719236654
O14682,-4.32258795512347
P10645,-5.2148767101384
Q9P1Z2,-4.16389743476297
A6NNY8,-4.24870237769837
Q5F1R6,-3.47479900892685
Q8IW70,-4.19806127328875
Q53EL6,-4.95695123988852
O95405,-3.06581460027856
Q14202,-4.01444927968803
Q9BTU6,-5.40179966088385
Q15386,-4.79234958799832
O00203,-4.66483901068396
Q719H9,-2.33241702558524
Q9Y2S7,-4.06648042912312
Q8IUZ0,-4.16498401222104
A5PKW4,-1.68537904258827
Q9Y376,-4.40767832834971
P28799,-0.396061779948635
O15042,-3.9784450337049
Q9BRJ6,-5.96156962910254
Q96LT9,-4.86924094598071
Q9H3K2,-5.89759857659487
Q6PIJ6,-3.61949116192366
Q8TAE8,-4.88247640440685
O60347,-0.607283604885891
Q9GZN1,-3.11106014528084
Q9NRF8,-5.30123046504796
Q8N556,-5.07152225937242
Q9Y2B0,-4.87424772399408
Q9NR31,-2.96160211036304
Q96P16,-3.04469484957085
Q9NYQ7,-4.33827035776386
Q9BWU0,-3.54021647824505
O75390,-7.69543393592335
Q9Y2Q5,-3.89252189086416
Q8N158,-4.74286230224875
Q8NAF0,-5.38472790547671
Q16799,-5.86095500535667
P38646,-8.57898175565948
Q7Z5J4,-4.9415608668335
Q9H3P2,-3.98871752925475
Q13425,-6.61243328325859
O94812,-2.88957840531081
Q9HAR2,-3.57206197136238
Q6IS24,-14.6138237227479
Q10471,-3.35315238504315
Q9UM19,0.892884609091059
P51812,-3.51526198451525
P07949,-3.68395867342649
Q9Y5I4,-3.33369497254379
P61962,-5.62928317497608
Q0VG06,-4.35712482144242
Q86XP3,-3.93827695203339
A6NHL2,-5.32980848302177
Q9P107,-3.93521724268046
Q8N5Y8,-23.2534966642115
Q9Y5S9,-23.2534966642115
Q9NUJ3,-4.09943640387143
Q9NZN8,-4.18849485005122
O14497,-4.99276012255942
Q58EX2,-5.49908977014559
Q9HA65,-4.74715594368805
P22304,-4.84776986762163
P56945,-2.65125520723872
O95071,-4.0843982174725
Q9NPH2,-4.27943693909927
Q6ZSY5,-4.81095481671546
Q9Y216,-3.52903776530629
O95989,-4.7712579626467
P35052,-4.95656216356832
Q9UN75,-3.40376237922041
Q5VU43,-5.75523520777835
Q8N2K0,-4.3290789436284
Q96FW1,-6.62893676831176
P78509,-4.13234048672512
Q14964,-3.39217409503943
P07741,-5.54474982741091
O95996,-3.30209494220337
Q9Y5L0,-7.44643706594061
Q13895,-3.21724984192031
Q96PE2,-3.18806555475526
O14733,-2.16041536065231
Q6ZTW0,-3.736385201376
Q6ZT07,-2.44930034306718
Q9Y6K1,-6.66411537638957
P16949,-6.07817961585135
Q9BQG0,-8.85889032636519
O15126,-4.72811558209624
Q6PCB5,-4.1892316286524
P15586,-4.9689841590387
A1L020,-3.11030686593541
P22314,-7.95836796566778
O43173,-3.54270488311495
P38606,-4.15226944189234
Q9P2K6,-4.47452801803636
P61160,-6.37543394593651
Q9NUM4,-2.54561437240186
Q92604,-4.95163908079514
Q8TAD8,-3.66686101909796
O43741,-10.4199700717992
Q9ULU8,-7.42472992344415
Q6ZN54,-1.72966105690455
O75427,-4.19634827110582
Q93050,-5.16797563577407
O75093,-2.60675967525343
P12955,-4.52782190981751
Q99447,-3.67606067609287
Q9Y2X7,-4.93990957668006
O76071,-4.97316455883465
P50542,-4.38296859403196
O95376,-4.22629787761448
P52429,-5.27294586893186
Q75T13,-5.95068312424218
Q9Y4W2,-23.2534966642115
P06576,-6.17035017601739
Q9NVT9,-5.38644115376036
Q8N9T8,-5.46760780027854
O60716,-4.27168704815873
Q15067,-5.00864640142928
Q06210,-3.22773100905332
O14522,-3.3421126441117
O94985,-2.2690878347436
Q8N8R5,-5.28516631961381
Q15819,-5.03045555812364
Q9P2R3,-6.06570189634769
O95394,-4.19945905111823
Q3YEC7,-6.10327233522086
Q9BWD1,-7.25615444681413
Q9BXJ3,-3.16126298077084
O15498,-5.27821218049902
Q9BXB4,-4.13625879394767
P48426,-4.60441203619251
Q96FK6,-5.57327271340072
Q9H2Y7,0.289688844624693
Q6SZW1,-6.27438988185229
O75592,-5.3920199453874
P49902,-7.52064068202897
Q6VAB6,-3.49891290809522
Q9HCM7,-3.86036706982103
P61019,-8.08166131663487
Q9UQB3,-3.96124702229194
C9J069,-2.68946890846019
P61086,-4.24245815380206
Q9HCN4,-5.76667905280968
Q12972,-4.17643829684629
Q9Y4K4,-4.28595267566206
P20337,-6.93100004291868
Q9P0I2,-4.30194738730956
Q7L775,-4.06495736913251
Q8WXF1,-5.6681530140568
P21579,-4.93163287630519
Q6ZW49,-2.91079114499324
O60231,-4.4131566533328
O60503,-4.91362159052954
Q8NEY1,-4.91308616100943
Q155Q3,-1.38083250737681
Q15126,-4.6104678438666
Q06587,-3.87252285818652
