PG.ProteinGroups,P0,P50
Q9HBE1,-12.6116297089505,-2.32645170346349
O43929,-6.58759277430491,-2.89458162463875
Q9HCJ2,-23.2534966642115,-0.394979795928681
Q8N8L6,-12.2021915515103,-3.78554907317046
Q9UQ03,-11.5622541607299,-6.17176766820556
Q9P2N5,-23.2534966642115,-4.03152137147136
Q9H6J7,0.0196734523617652,0.61572974474769
Q9NYQ7,-11.7067352139719,-5.78818706330201
Q13501,-5.95746589630174,-4.67124886301195
Q9NZ53,-12.9292622077519,-3.65042738546007
P46379,-12.5996599201248,-4.41438677779324
Q6T4R5,0.321237658054076,-23.2534966642115
Q9H496,-15.4366448985582,-4.4699841100473
P02786,-15.2754713453498,-4.77445466910024
Q8WUU5,-14.8478046837185,-4.37228202919685
A1L020,-13.5503631147199,-3.59996413093408
Q9ULI4,-13.3470644096557,-4.19559841312185
Q9Y376,-13.2349405885377,-4.61481713282783
P24666,-7.32741588455971,-5.01436793744881
Q92558,-12.2818047495902,-6.1019353790553
Q9UP83,-9.06218341599039,-7.17875371689548
Q9Y4F3,-13.4460550975675,-3.9655744203456
O94868,-5.46720482546329,-2.87211905610159
Q8WUN7,-9.47072530442513,-2.26186829924748
Q16706,-4.03655922559176,-2.1302673458591
Q15126,-23.2534966642115,-5.39791729764767
Q16718,-5.83721491602744,-4.09988303499179
Q9BRD0,-5.16467136534677,-3.68027957736523
Q12797,-3.72569229074927,-2.04715978702211
Q86VW0,-8.29519890313959,-3.8853281222235
Q8WTW4,-0.556407968405253,-9.03098607848696
O94953,-14.7432463355339,-3.90385997653696
P36954,-9.63097206838968,-5.109677925805
Q8NFP4,-13.8463119514061,-6.34142208537093
O15173,-11.8603815135114,-5.20291454843528
P08243,-12.1253783604707,-8.13446147966078
Q13569,-7.89647689434212,-3.05544939525042
Q9C0I3,-1.32126581182036,-0.184042951435349
Q02543,-8.7282766967875,-6.2691861527701
Q9NRW7,-11.0805768301672,-4.63763407608256
P16298,-23.2534966642115,-5.75997853601655
P18074,-11.3248413638488,-4.54847182206714
Q96K37,-23.2534966642115,-4.75609735938157
Q8WYK1,-13.8081327141966,-4.16642785788014
Q13825,-12.3802541877634,-4.75124420741517
Q6Y7W6,-18.9346744394985,-4.26804382572065
O15068,-23.2534966642115,-4.5712108474654
P16949,-9.88685348909747,-6.3464869959022
Q15560,-13.8142750945819,-1.60901720130601
O15213,-8.80911822654194,-5.70582667822006
P31930,-8.89371182101399,-6.492744045564
Q8N1G4,-23.2534966642115,-6.10784275102805
P28799,-0.899061698155586,-0.471139818454352
O94952,-13.0231428425885,-3.1225949369656
Q9UKE5,-5.18723231879331,-3.24939161585197
O75385,-15.2840301258122,-2.55944359202953
P25705,-23.2534966642115,-7.29362044530272
Q5JU85,-12.3093697799368,-1.54428110844711
Q9NQG5,-23.2534966642115,-4.93502344028199
Q6ZN54,-3.07223178342924,-1.7161228026263
Q99873,-10.5899900660451,-6.67080495410953
P55011,-5.32885783522265,-4.11986484729148
P43004,-13.6931424307388,-5.49459784888336
Q12765,-23.2534966642115,-5.96612456270723
O75390,-16.1096541447196,-7.8488883424606
Q86V97,-9.56202276308935,-4.60895742962285
O75093,-23.2534966642115,-4.09055666328423
P62701,-23.2534966642115,-8.61392395090933
P35222,-16.7384716100062,-3.92935890397359
P48730,-13.7939922287461,-3.03361659101551
Q9H1V8,-3.23639570908415,-4.5057989398677
Q99733,-11.1138488750582,-8.45766889390882
Q96A35,-12.2126328686917,-5.81352360320248
Q9Y5R8,1.1976840808168,1.70089871987579
Q9H4A3,-8.89440327343729,-4.66358047681996
Q9Y2B0,-23.2534966642115,-7.19556778108081
Q13492,-6.38052406697165,-4.71992992141183
Q9NXG6,-12.9143731470392,-3.56968335343637
Q52WX2,-23.2534966642115,-4.21469331526413
Q9P2K5,-13.2931739554523,-7.23093780665092
Q6IS24,-2.3740989695004,-10.2683755946874
P60510,-12.7354007025035,-4.84827476713208
Q9UNF1,-23.2534966642115,-6.48962810223377
Q6ZVC0,-4.29468610387911,-2.72108844708813
Q9BU76,-1.83264803199586,4.3970662118319
Q8NBI6,-23.2534966642115,-4.71357950455608
Q96F07,-13.5487924189734,-7.17757208440889
P84095,-15.0046131078705,-2.59546345195455
O43920,-7.08865803570394,-5.64211546394079
P61086,-8.20860895484912,-4.58008904719556
P22695,-23.2534966642115,-6.6154547116125
Q495W5,1.68455496061846,-11.9969383681178
P42892,-23.2534966642115,-4.60424019462433
Q8N0Z6,-13.0422125510662,-5.35031796398225
Q96NX9,-11.262672424796,-1.65183808541367
Q15819,-7.96610583114313,-5.52404923112969
Q9UBB9,-10.7719129001614,-4.52034208362
Q5TGI0,-14.3341137335669,-4.45153551928811
O43310,-9.31787667862286,-3.37368063134345
Q719H9,-4.18205071795861,-2.64792812048605
Q9H9T3,-23.2534966642115,-5.98461097092784
Q12852,-23.2534966642115,-4.96357656888393
