PG.ProteinGroups,P300_24
Q96SW2,-4.1037943163781
Q8N3Y1,-1.79992948354194
P51513,-6.20960401776685
Q9BZK7,-2.58559791080231
P30876,-4.47696099938182
Q9UMX1,-3.33169266154423
Q8WZ82,-5.02227697426483
O75153,-5.53220089610634
Q96PE2,-2.91205021150332
Q9NXG6,-3.5875588956871
P43378,-2.79248351037467
Q9P1Z2,-3.88641810928627
Q15262,-2.43296289050467
Q92734,-3.67211832466052
Q92520,-3.77132972496687
O75094,-2.83331520781289
P09110,-7.64833772868903
Q9BXJ3,-2.64176155880618
Q9NSI2,-2.76627819690372
Q9Y4C2,-2.04294696947394
Q9UNF0,-6.1505710253163
Q9Y5L0,-6.74708062372206
Q9Y266,-8.70543647127099
P47756,-5.23167097426874
Q92784,-4.03316580580773
P49427,-2.89526762815155
Q9UBB9,-4.77568062931559
P00813,-5.59821164079288
Q9NZV5,-3.12954113835612
Q92574,-4.83355703289731
Q8NBJ7,-4.52105880610081
Q9BZR6,-0.419225775977647
Q12772,-0.892319661406141
Q9H3Q1,-8.30355548747239
Q7L775,-4.67871942495635
Q96Q04,-5.76840018467843
Q86SK9,-2.73582435126383
Q9BQ89,-3.31281490535113
Q5TGI0,-3.72447370028181
Q8NFD5,-3.9367426049675
Q6IEE7,-3.49155400206595
Q9Y5W9,-5.48496455559906
Q7L592,-13.8915334429542
P14373,-2.9436112868668
Q8IUH5,-2.87678718006203
O76071,-4.14164912690093
Q676U5,-4.30096860269328
O94868,-2.74473267035283
Q9NVG8,-4.90732500997136
Q13435,-8.33161302245866
Q96BT7,-0.939388766511308
P11717,-5.31004323867029
Q9BR01,-0.969775219876821
P62993,-5.33521157849466
Q92609,-3.34052930633363
O43292,-4.34659437337223
Q96S59,-3.35770898989379
P38606,-5.12210809121792
P30040,-5.2559432171122
Q68D10,-2.13116446675487
Q9NRF8,-6.31683884129688
Q71RC2,-4.33512526620264
Q13394,-3.15966020784854
P35249,-2.06048141890622
Q9UK41,-4.12567522635473
O00522,-13.4887219160316
Q86UE8,-3.64244237766679
Q9HCG8,-4.97335851509656
Q9H270,-5.78429022153396
Q14687,-3.74035212168993
P49441,-5.99394258782127
Q96EZ8,-3.91383279546625
Q99758,-3.05374130184694
Q9NRL3,-5.09450893161341
Q06210,-3.18573772877317
Q9NYQ7,-4.31103542303218
Q9H3P2,-4.73042190225147
Q9ULN7,-2.66019205681936
P51571,-5.35721761037188
Q49AR2,-4.89114237062816
O94856,-4.63408196011227
Q15904,-5.55251679493067
P52948,-7.91575690089041
Q6PIJ6,-3.06790824469723
Q9Y2Q5,-4.56323016874493
O43155,-2.44358959835436
Q96EL2,-5.99953804121326
P17028,-3.57899010504198
Q8IV08,-3.77356878816521
P98174,-4.18899217538866
Q9Y697,-4.04816775797231
